mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.0807417926573217,0.122222345441449,-0.237069288073152,-0.108889739583818,0.270953262931311,1.07,37,trend,ACHU,0,0.869480035331459
0.25796044077318,0.275628932031276,-0.0604154068156174,0.162969956265079,0.996064921620381,1.28,23,trend2,ACHU,0,0.869480035331459
585.787333333335,211.023521731674,328,515.5,1144.575,1.27,38,totalN[1],ACHU,0,0.869480035331459
401.368666666667,90.2287624389793,258.475,393,641.525,1.5,37,totalN[2],ACHU,0,0.869480035331459
375.525333333333,70.4217355564418,251.425,369,538.575,1.08,55,totalN[3],ACHU,0,0.869480035331459
403.139333333334,103.729178221456,277,379,708,1.05,48,totalN[4],ACHU,0,0.869480035331459
379.330666666667,60.5530547634304,290.475,368,517.525,1.12,77,totalN[5],ACHU,0,0.869480035331459
324.172,44.5172881245175,262,318,423.05,1.11,83,totalN[6],ACHU,0,0.869480035331459
262.590666666666,35.4268046147598,198,261,333,1.23,79,totalN[7],ACHU,0,0.869480035331459
288.103333333333,43.9090042701139,221,282,390.525,1.05,105,totalN[8],ACHU,0,0.869480035331459
267.084666666667,45.3246994894774,170.95,267,353,1.03,96,totalN[9],ACHU,0,0.869480035331459
262.388,94.8626062543979,62.475,265.5,413,1.07,188,totalN[10],ACHU,0,0.869480035331459
272.917333333333,37.1236125392029,216,269,358.525,1.05,117,totalN[11],ACHU,0,0.869480035331459
304.931333333333,47.2914115172204,236,297,428.525,1.01,89,totalN[12],ACHU,0,0.869480035331459
336.730666666667,54.6358506569349,264,327,477.525,1.09,90,totalN[13],ACHU,0,0.869480035331459
270.847333333333,49.4229951323685,188,265,376,1.19,62,totalN[14],ACHU,0,0.869480035331459
339.488666666667,75.7057028269065,214,336,510,1.11,45,totalN[15],ACHU,0,0.869480035331459
0.149948568512698,0.0421704502987948,0.0717486713902163,0.153778590448293,0.237172041202832,1.22,49,anndet[1],ACHU,0,0.869480035331459
0.154101297734969,0.0330223026217475,0.0913460824613482,0.150810005787923,0.226248563723186,1.4,47,anndet[2],ACHU,0,0.869480035331459
0.135821677264693,0.0261843365880364,0.0892785572917071,0.133903530449609,0.197112798036311,1.06,73,anndet[3],ACHU,0,0.869480035331459
0.20234591814315,0.0415946258234387,0.11129363396144,0.204053487536877,0.283696790496627,1.05,58,anndet[4],ACHU,0,0.869480035331459
0.217159968400727,0.0329393853420175,0.152742203915938,0.218871234015978,0.280408673394289,1.1,87,anndet[5],ACHU,0,0.869480035331459
0.293618708427032,0.0345950675761042,0.224189594462071,0.294629841052216,0.356731077791569,1.04,110,anndet[6],ACHU,0,0.869480035331459
0.380108625126324,0.0499322437442661,0.293804146124231,0.377976261969349,0.485923985588617,1.25,80,anndet[7],ACHU,0,0.869480035331459
0.261426299928419,0.035767596297348,0.19158216882006,0.262059813017307,0.329905841700353,1.07,122,anndet[8],ACHU,0,0.869480035331459
0.157904110822705,0.0299882579613883,0.112240643910193,0.153180943244032,0.235574478945776,1.02,143,anndet[9],ACHU,0,0.869480035331459
0.187296924907436,0.0601538238661699,0.0835756735039142,0.180505047132754,0.318870873191503,1.02,500,anndet[10],ACHU,0,0.869480035331459
0.272280566652466,0.0338250845881121,0.200946429926755,0.273251203251031,0.337505074976502,1.04,118,anndet[11],ACHU,0,0.869480035331459
0.229310942631195,0.0324584133309932,0.162036084663032,0.2308875296204,0.289108482492164,1.01,91,anndet[12],ACHU,0,0.869480035331459
0.28435747916855,0.0393238890011398,0.195773428071909,0.287023458038585,0.355434619279254,1.04,79,anndet[13],ACHU,0,0.869480035331459
0.147420090354271,0.0261890603209628,0.101704314381558,0.146629722557349,0.201684766700938,1.11,88,anndet[14],ACHU,0,0.869480035331459
0.18481766133155,0.0400226431903073,0.120230377410442,0.177897666923149,0.272915598932917,1.14,51,anndet[15],ACHU,0,0.869480035331459
4.42400000000002,2.47554227184534,1,4,11,1.09,374,"N[1, 1]",ACHU,0,0.869480035331459
4.73999999999999,2.71759517754812,1,4,12,1.09,282,"N[2, 1]",ACHU,0,0.869480035331459
7.73066666666665,2.97523571737403,3,7,15,1.07,249,"N[3, 1]",ACHU,0,0.869480035331459
7.04066666666667,2.95039253314231,3,6,15,1.1,202,"N[4, 1]",ACHU,0,0.869480035331459
5.85800000000003,2.92110559639158,2,5,13,1.08,296,"N[5, 1]",ACHU,0,0.869480035331459
5.72333333333331,2.94809255655869,2,5,13,1.1,343,"N[6, 1]",ACHU,0,0.869480035331459
4.51000000000001,2.73816819121148,1,4,12,1.08,319,"N[7, 1]",ACHU,0,0.869480035331459
5.86666666666667,3.07275936615668,2,5,13,1.11,290,"N[8, 1]",ACHU,0,0.869480035331459
6.726,3.147304828758,2,6,15,1.08,164,"N[9, 1]",ACHU,0,0.869480035331459
5.96933333333333,2.68027028265453,2,5,13,1.08,215,"N[10, 1]",ACHU,0,0.869480035331459
6.02199999999998,3.14156472997695,1,5,13,1.06,185,"N[11, 1]",ACHU,0,0.869480035331459
8.27799999999998,3.72620974889076,3,7.5,18,1.11,145,"N[12, 1]",ACHU,0,0.869480035331459
5.77933333333335,3.00787928294048,2,5,14,1.09,319,"N[13, 1]",ACHU,0,0.869480035331459
7.67666666666668,3.22558394973168,3,7,16,1.08,158,"N[14, 1]",ACHU,0,0.869480035331459
5.05666666666669,2.99412180766831,1,4,13,1.09,348,"N[15, 1]",ACHU,0,0.869480035331459
6.45800000000001,2.96008063824674,2,6,14,1.1,234,"N[16, 1]",ACHU,0,0.869480035331459
6.888,3.56238446203806,2,6,16,1.11,215,"N[17, 1]",ACHU,0,0.869480035331459
10.624,4.43061819445737,4,10,22,1.1,157,"N[18, 1]",ACHU,0,0.869480035331459
6.22666666666665,3.00310416824311,2,6,14,1.1,345,"N[19, 1]",ACHU,0,0.869480035331459
7.56599999999998,3.60161423300567,3,7,17,1.08,275,"N[20, 1]",ACHU,0,0.869480035331459
3.56266666666665,2.87371624421357,0,3,11,1.1,384,"N[21, 1]",ACHU,0,0.869480035331459
7.21200000000001,3.25465582251259,3,7,16,1.1,245,"N[22, 1]",ACHU,0,0.869480035331459
6.65933333333337,3.30795625806818,2,6,15,1.09,299,"N[23, 1]",ACHU,0,0.869480035331459
5.99066666666666,2.98739505953211,2,5,14,1.08,206,"N[24, 1]",ACHU,0,0.869480035331459
11.22,5.16656516431027,4,10,24,1.11,122,"N[25, 1]",ACHU,0,0.869480035331459
7.98200000000001,3.27671083394001,4,7,16,1.08,208,"N[26, 1]",ACHU,0,0.869480035331459
6.93000000000001,3.44184992224504,2,6,16,1.08,218,"N[27, 1]",ACHU,0,0.869480035331459
6.38733333333332,3.23856425305561,2,6,15,1.07,381,"N[28, 1]",ACHU,0,0.869480035331459
4.768,2.93142254865669,1,4,12,1.08,181,"N[29, 1]",ACHU,0,0.869480035331459
6.05133333333333,3.50231480998515,1,5,15,1.05,424,"N[30, 1]",ACHU,0,0.869480035331459
9.40999999999998,5.02554183285837,2,8.5,23,1.08,309,"N[31, 1]",ACHU,0,0.869480035331459
8.14733333333333,4.17707132316195,2,7,18,1.06,460,"N[32, 1]",ACHU,0,0.869480035331459
12.32,5.35543840225246,5,11,25,1.09,106,"N[33, 1]",ACHU,0,0.869480035331459
6.59533333333333,3.38455536699341,2,6,15,1.11,178,"N[34, 1]",ACHU,0,0.869480035331459
6.29266666666663,3.5064525799378,1,6,15,1.11,322,"N[35, 1]",ACHU,0,0.869480035331459
7.06133333333334,3.31997787004581,2,6,16,1.12,212,"N[36, 1]",ACHU,0,0.869480035331459
6.17799999999999,3.29791350538375,1,6,15,1.1,278,"N[37, 1]",ACHU,0,0.869480035331459
5.27199999999998,2.78121785947358,2,5,13,1.1,398,"N[38, 1]",ACHU,0,0.869480035331459
4.48999999999999,2.79722177045168,1,4,12,1.08,461,"N[39, 1]",ACHU,0,0.869480035331459
6.94799999999999,3.91145697455255,2,6,17,1.09,264,"N[40, 1]",ACHU,0,0.869480035331459
10.846,5.44873775861054,3,10,24,1.07,210,"N[41, 1]",ACHU,0,0.869480035331459
10.5453333333333,4.83648004734722,4,10,22,1.09,166,"N[42, 1]",ACHU,0,0.869480035331459
9.46600000000002,4.28436084286653,3,9,20,1.1,136,"N[43, 1]",ACHU,0,0.869480035331459
4.95333333333333,2.76819992825375,1,4,12,1.08,499,"N[44, 1]",ACHU,0,0.869480035331459
5.17333333333335,2.85576478090865,1,5,12.5249999999999,1.07,308,"N[45, 1]",ACHU,0,0.869480035331459
5.95066666666669,3.22725523313262,1.475,5,14,1.05,354,"N[46, 1]",ACHU,0,0.869480035331459
7.4606666666667,3.3670973332912,3,7,16,1.05,117,"N[47, 1]",ACHU,0,0.869480035331459
13.098,5.01542610346644,6,12,25,1.12,130,"N[48, 1]",ACHU,0,0.869480035331459
10.264,4.39581461438977,4,9,22,1.13,151,"N[49, 1]",ACHU,0,0.869480035331459
6.97133333333334,3.52705802538486,2,6,16,1.08,225,"N[50, 1]",ACHU,0,0.869480035331459
4.70466666666669,2.77294747769077,1,4,12,1.12,278,"N[51, 1]",ACHU,0,0.869480035331459
2.47133333333334,2.3411177053484,0,2,9,1.1,281,"N[52, 1]",ACHU,0,0.869480035331459
3.77066666666666,2.8518113730798,0,3,11,1.04,251,"N[53, 1]",ACHU,0,0.869480035331459
5.47333333333331,3.01253035087878,2,5,13,1.09,213,"N[54, 1]",ACHU,0,0.869480035331459
7.15199999999998,3.20807686495315,3,6,15,1.06,169,"N[55, 1]",ACHU,0,0.869480035331459
6.12666666666666,3.13557705234455,2,5,14,1.09,254,"N[56, 1]",ACHU,0,0.869480035331459
4.98733333333332,2.71368426259829,1.475,4,12,1.12,342,"N[57, 1]",ACHU,0,0.869480035331459
7.42666666666669,3.12886807528066,3,7,15.5249999999999,1.08,236,"N[58, 1]",ACHU,0,0.869480035331459
6.11133333333337,3.06221973117705,2,6,13,1.07,288,"N[59, 1]",ACHU,0,0.869480035331459
6.28533333333332,2.9568700133316,2,6,14,1.07,221,"N[60, 1]",ACHU,0,0.869480035331459
6.89600000000002,3.09422583031567,3,6,15,1.08,305,"N[61, 1]",ACHU,0,0.869480035331459
7.71266666666667,3.0618659187101,4,7,16,1.08,231,"N[62, 1]",ACHU,0,0.869480035331459
5.68066666666669,3.05629189852697,1,5,13.5249999999999,1.08,306,"N[63, 1]",ACHU,0,0.869480035331459
5.57866666666667,3.11763125443789,1,5,13,1.09,267,"N[64, 1]",ACHU,0,0.869480035331459
6.86533333333333,2.7215441861917,3,6,14,1.05,377,"N[65, 1]",ACHU,0,0.869480035331459
6.04133333333333,3.02374826850437,2,5,14,1.07,257,"N[66, 1]",ACHU,0,0.869480035331459
5.50733333333333,3.21613254721617,1,5,14,1.08,341,"N[67, 1]",ACHU,0,0.869480035331459
6.85200000000002,2.92069334800639,3,6,15,1.09,300,"N[68, 1]",ACHU,0,0.869480035331459
7.83599999999999,3.04159029363637,3,7,15,1.05,236,"N[69, 1]",ACHU,0,0.869480035331459
6.43466666666667,3.08351589408395,2,6,14,1.09,207,"N[70, 1]",ACHU,0,0.869480035331459
6.91733333333335,2.97933166448455,3,6,15,1.08,165,"N[71, 1]",ACHU,0,0.869480035331459
6.85600000000001,3.24853289614225,2,6,15,1.08,286,"N[72, 1]",ACHU,0,0.869480035331459
6.54066666666668,3.01569381099332,2,6,14,1.06,343,"N[73, 1]",ACHU,0,0.869480035331459
5.02466666666665,2.60907321941433,1,5,11,1.12,496,"N[74, 1]",ACHU,0,0.869480035331459
7.49733333333333,3.45397541773917,3,7,16,1.09,301,"N[75, 1]",ACHU,0,0.869480035331459
5.24066666666667,2.95757407094825,1,5,13,1.14,255,"N[76, 1]",ACHU,0,0.869480035331459
6.78400000000001,2.7628064354203,3,6,14,1.11,180,"N[77, 1]",ACHU,0,0.869480035331459
4.19199999999999,2.48500560064223,1,4,11,1.09,320,"N[78, 1]",ACHU,0,0.869480035331459
4.29933333333332,2.78978879186653,1,4,12,1.07,322,"N[79, 1]",ACHU,0,0.869480035331459
5.01666666666668,2.67154393317425,1,4,12,1.06,250,"N[80, 1]",ACHU,0,0.869480035331459
3.81066666666667,2.65848288372352,1,3,11,1.09,180,"N[81, 1]",ACHU,0,0.869480035331459
6.58666666666666,2.74897437764976,3,6,14,1.09,216,"N[82, 1]",ACHU,0,0.869480035331459
8.66800000000002,4.44960395056437,2,8,19.5249999999999,1.09,273,"N[83, 1]",ACHU,0,0.869480035331459
8.11399999999998,4.62189484316707,2,7,19,1.1,127,"N[84, 1]",ACHU,0,0.869480035331459
7.96399999999999,4.29639500123891,2,7,19,1.08,324,"N[85, 1]",ACHU,0,0.869480035331459
7.72733333333333,4.23268196537006,2,7,18.5249999999999,1.07,278,"N[86, 1]",ACHU,0,0.869480035331459
5.94800000000002,3.30119593426345,1,5,14,1.06,206,"N[87, 1]",ACHU,0,0.869480035331459
5.31533333333333,3.27705013601434,1,5,13,1.04,332,"N[88, 1]",ACHU,0,0.869480035331459
4.35333333333333,1.63164448682195,2,4,8,1.12,351,"N[1, 2]",ACHU,0,0.869480035331459
3.61866666666667,1.73875445849422,1,3,8,1.04,515,"N[2, 2]",ACHU,0,0.869480035331459
3.64533333333334,1.86311361716237,1,3,8,1.07,492,"N[3, 2]",ACHU,0,0.869480035331459
4.158,1.85921321599264,1,4,8,1.09,418,"N[4, 2]",ACHU,0,0.869480035331459
4.17133333333333,1.60531292129367,2,4,8,1.07,422,"N[5, 2]",ACHU,0,0.869480035331459
5.58333333333334,2.04886654640369,3,5,10,1.06,421,"N[6, 2]",ACHU,0,0.869480035331459
2.75066666666667,1.9152750214597,0,2,7,1.03,522,"N[7, 2]",ACHU,0,0.869480035331459
4.25533333333333,1.9013718816275,1,4,9,1.07,524,"N[8, 2]",ACHU,0,0.869480035331459
4.28266666666667,1.85429011127351,2,4,9,1.05,475,"N[9, 2]",ACHU,0,0.869480035331459
4.304,1.95024433562714,1,4,9,1.07,260,"N[10, 2]",ACHU,0,0.869480035331459
5.006,2.10988113383969,2,5,10,1.05,775,"N[11, 2]",ACHU,0,0.869480035331459
6.15266666666667,2.33687830713764,3,6,11,1.06,341,"N[12, 2]",ACHU,0,0.869480035331459
4.598,1.86548904211312,2,4,9,1.03,414,"N[13, 2]",ACHU,0,0.869480035331459
4.74733333333334,2.09756034362597,1,4,9,1.07,418,"N[14, 2]",ACHU,0,0.869480035331459
4.94933333333333,1.97755068034959,2,5,10,1.05,423,"N[15, 2]",ACHU,0,0.869480035331459
5.07533333333333,1.94769622099249,2,5,10,1.04,340,"N[16, 2]",ACHU,0,0.869480035331459
3.91,2.07286384253118,1,4,9,1.15,348,"N[17, 2]",ACHU,0,0.869480035331459
7.07000000000001,2.7728852473666,3,7,14,1.09,143,"N[18, 2]",ACHU,0,0.869480035331459
4.942,1.91826896894698,2,5,9.52499999999986,1.04,290,"N[19, 2]",ACHU,0,0.869480035331459
3.82666666666667,1.9759955957994,1,4,8,1.06,505,"N[20, 2]",ACHU,0,0.869480035331459
2.07333333333333,1.7635274049929,0,2,6,1.06,433,"N[21, 2]",ACHU,0,0.869480035331459
3.634,1.96127723833314,1,3,9,1.08,235,"N[22, 2]",ACHU,0,0.869480035331459
2.522,1.86686174685074,0,2,7,1.06,388,"N[23, 2]",ACHU,0,0.869480035331459
2.472,1.84593815130382,0,2,7,1.05,312,"N[24, 2]",ACHU,0,0.869480035331459
7.58,3.24262389737487,3,7,16,1.14,154,"N[25, 2]",ACHU,0,0.869480035331459
6.93333333333333,2.11247025445083,4,7,12,1.11,302,"N[26, 2]",ACHU,0,0.869480035331459
3.18666666666667,2.08871508573136,0,3,8,1.04,491,"N[27, 2]",ACHU,0,0.869480035331459
2.85066666666667,1.91698098572258,0,3,7,1.09,698,"N[28, 2]",ACHU,0,0.869480035331459
4.27533333333333,2.00388004773724,1,4,9,1.06,379,"N[29, 2]",ACHU,0,0.869480035331459
4.74866666666667,1.91449081279342,2,5,9,1.08,474,"N[30, 2]",ACHU,0,0.869480035331459
6.828,2.71943858743318,3,6,13,1.07,263,"N[31, 2]",ACHU,0,0.869480035331459
5.37266666666667,2.37575581644137,2,5,11,1.06,275,"N[32, 2]",ACHU,0,0.869480035331459
8.94933333333333,3.41856070011867,4,9,16,1.07,119,"N[33, 2]",ACHU,0,0.869480035331459
4.25466666666667,1.93777747516349,1,4,9,1.08,235,"N[34, 2]",ACHU,0,0.869480035331459
