mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-1.33791272253598,0.263608080036703,-1.85179929051375,-1.2945150745584,-0.886214624788355,2.19,17,trend,CAEL,0.926,1.12588032964832
-0.218022753094065,0.36356920464995,-0.876191238901158,-0.160132554045358,0.349416836938888,3.86,18,trend2,CAEL,0.926,1.12588032964832
337.28,157.751289206029,149,308,746.149999999999,1.31,39,totalN[1],CAEL,0.926,1.12588032964832
96.0226666666666,34.9435380787044,43,91,175.525,1.21,74,totalN[2],CAEL,0.926,1.12588032964832
100.501333333333,57.6995218475553,34.475,86,265.05,1.2,41,totalN[3],CAEL,0.926,1.12588032964832
337.103333333334,106.947222783934,170,322,589.05,1.08,40,totalN[4],CAEL,0.926,1.12588032964832
183.841333333333,56.2916037669798,97,175,311.525,1.18,65,totalN[5],CAEL,0.926,1.12588032964832
184.643333333333,87.0886008910408,90.475,161,431.099999999999,1.36,42,totalN[6],CAEL,0.926,1.12588032964832
88.6300000000003,38.4100245594528,37.475,80,182,1.47,117,totalN[7],CAEL,0.926,1.12588032964832
30.1746666666666,18.6295338439546,9,25,80,1.21,92,totalN[8],CAEL,0.926,1.12588032964832
17.3173333333333,15.2732494137296,2,13,62.5249999999999,1.58,151,totalN[9],CAEL,0.926,1.12588032964832
63.8233333333331,192.678127186299,2,33,294.824999999998,1.2,1328,totalN[10],CAEL,0.926,1.12588032964832
44.9833333333333,28.4907037883785,18,38,146.525,1.41,85,totalN[11],CAEL,0.926,1.12588032964832
33.364,15.6050157004089,13,30,70,1.13,144,totalN[12],CAEL,0.926,1.12588032964832
4.86799999999998,5.41326564684469,0,3,19,1.3,199,totalN[13],CAEL,0.926,1.12588032964832
9.71933333333333,6.16023743365857,2,8,26,1.01,185,totalN[14],CAEL,0.926,1.12588032964832
6.15333333333334,9.22662321434635,0,3,36,1.28,92,totalN[15],CAEL,0.926,1.12588032964832
0.0865894741392724,0.0319682739593311,0.0355478252464949,0.0827176541973098,0.163169022763115,1.17,41,anndet[1],CAEL,0.926,1.12588032964832
0.0955330054212949,0.0371058942385546,0.045350426232624,0.0889392772318622,0.187574637845937,1.16,90,anndet[2],CAEL,0.926,1.12588032964832
0.0806250025455919,0.0381683696891661,0.0293953389854045,0.0735068780060879,0.175385460854932,1.25,79,anndet[3],CAEL,0.926,1.12588032964832
0.0849377838479386,0.0284215589912705,0.0437247511493294,0.0811576436843582,0.156348405361014,1.04,40,anndet[4],CAEL,0.926,1.12588032964832
0.112440550986954,0.0344435566914807,0.0612171280848731,0.107340775277233,0.195753779365278,1.21,61,anndet[5],CAEL,0.926,1.12588032964832
0.0814695025084997,0.0264686813725229,0.0323195936338554,0.081947970359536,0.132844975818665,1.28,78,anndet[6],CAEL,0.926,1.12588032964832
0.0884161279738511,0.0364278301199954,0.0360765623187902,0.0837433760224919,0.18004524075741,1.27,116,anndet[7],CAEL,0.926,1.12588032964832
0.0777643470479359,0.0360601940984125,0.0231102979278251,0.0738519801215212,0.168133701303506,1.13,122,anndet[8],CAEL,0.926,1.12588032964832
0.0533360345561089,0.0270406944014284,0.0128843140311218,0.0505239501086045,0.116363586097698,1.24,273,anndet[9],CAEL,0.926,1.12588032964832
0.0873038797124793,0.0589733039148767,0.0252238910275726,0.0737889528252696,0.25200974433547,1.22,129,anndet[10],CAEL,0.926,1.12588032964832
0.0991173586430865,0.0420037065728267,0.0298527867765446,0.0954187133165008,0.19526934221171,1.11,91,anndet[11],CAEL,0.926,1.12588032964832
0.10824086300829,0.0498722060351188,0.0451255550584533,0.0971128398640537,0.241166940901193,1.31,114,anndet[12],CAEL,0.926,1.12588032964832
0.0842434765613296,0.045258481409476,0.0217112877678381,0.0781209626475089,0.199464692682738,1.11,293,anndet[13],CAEL,0.926,1.12588032964832
0.0791506028642806,0.0395095983762901,0.0311229317683867,0.0713316681922848,0.178962879670737,1.2,285,anndet[14],CAEL,0.926,1.12588032964832
0.0856962396483593,0.254948230542695,0.000316138991853234,0.00106603975835954,0.989255418771931,1.02,331,anndet[15],CAEL,0.926,1.12588032964832
1.484,1.64505769195894,0,1,6,1.09,270,"N[1, 1]",CAEL,0.926,1.12588032964832
4.12333333333333,2.71582510965631,1,3,11,1.2,205,"N[2, 1]",CAEL,0.926,1.12588032964832
1.51133333333333,1.69581506894303,0,1,5.52499999999986,1.08,411,"N[3, 1]",CAEL,0.926,1.12588032964832
6.178,2.10363166392114,4,6,11,1.08,194,"N[4, 1]",CAEL,0.926,1.12588032964832
10.444,5.72730873769853,4,9,26,1.18,119,"N[5, 1]",CAEL,0.926,1.12588032964832
7.454,4.72850820660244,2,6,19,1.16,97,"N[6, 1]",CAEL,0.926,1.12588032964832
2.70533333333333,1.90952063834555,1,2,7,1.14,222,"N[7, 1]",CAEL,0.926,1.12588032964832
2.85666666666667,1.81171477588913,1,2,8,1.06,267,"N[8, 1]",CAEL,0.926,1.12588032964832
6.074,3.55728738352967,2,5,16,1.18,283,"N[9, 1]",CAEL,0.926,1.12588032964832
0.612666666666666,0.940511880460353,0,0,3,1.06,837,"N[10, 1]",CAEL,0.926,1.12588032964832
1.46666666666667,1.70415912630661,0,1,6,1.07,370,"N[11, 1]",CAEL,0.926,1.12588032964832
5.83266666666666,4.29646823741302,0,5,17,1.14,84,"N[12, 1]",CAEL,0.926,1.12588032964832
1.562,1.7945202335385,0,1,6,1.05,255,"N[13, 1]",CAEL,0.926,1.12588032964832
3.06466666666667,2.17308530789576,1,3,8,1.13,254,"N[14, 1]",CAEL,0.926,1.12588032964832
5.214,2.94674841435071,2,4,13,1.16,228,"N[15, 1]",CAEL,0.926,1.12588032964832
1.38466666666667,1.56236750383307,0,1,5,1.04,322,"N[16, 1]",CAEL,0.926,1.12588032964832
2.06066666666667,2.14228362773233,0,2,8,1.08,167,"N[17, 1]",CAEL,0.926,1.12588032964832
2.76333333333334,3.25428678472063,0,2,10.5249999999999,1.25,245,"N[18, 1]",CAEL,0.926,1.12588032964832
1.988,1.2731600937888,1,2,5,1.05,359,"N[19, 1]",CAEL,0.926,1.12588032964832
2.26266666666667,2.31197672562005,0,2,8,1.1,297,"N[20, 1]",CAEL,0.926,1.12588032964832
7.69733333333333,6.51004198552702,1,6,27,1.2,76,"N[21, 1]",CAEL,0.926,1.12588032964832
1.348,1.83334032788201,0,1,6,1.18,303,"N[22, 1]",CAEL,0.926,1.12588032964832
3.92133333333333,2.7983981567529,1,3,11,1.12,205,"N[23, 1]",CAEL,0.926,1.12588032964832
1.81933333333333,1.94487735367454,0,1,7,1.13,342,"N[24, 1]",CAEL,0.926,1.12588032964832
3.466,3.09503314254237,0,3,12,1.1,198,"N[25, 1]",CAEL,0.926,1.12588032964832
1.10266666666667,1.35696491900729,0,1,4.52499999999986,1.06,269,"N[26, 1]",CAEL,0.926,1.12588032964832
2.08666666666666,2.1822764358617,0,2,8,1.09,149,"N[27, 1]",CAEL,0.926,1.12588032964832
0.834666666666668,1.20566744096691,0,0,4,1.07,284,"N[28, 1]",CAEL,0.926,1.12588032964832
2.70000000000001,2.9076283924496,0,2,11,1.16,164,"N[29, 1]",CAEL,0.926,1.12588032964832
1.13666666666667,1.36451340048469,0,1,4,1.05,507,"N[30, 1]",CAEL,0.926,1.12588032964832
8.62066666666665,6.51509046942343,1,7,27,1.08,137,"N[31, 1]",CAEL,0.926,1.12588032964832
1.50533333333333,1.65885686331005,0,1,6,1.07,339,"N[32, 1]",CAEL,0.926,1.12588032964832
4.51466666666667,3.24007977785529,1,4,13,1.1,154,"N[33, 1]",CAEL,0.926,1.12588032964832
3.722,2.67808963804542,1,3,10,1.13,195,"N[34, 1]",CAEL,0.926,1.12588032964832
3.35666666666667,2.28552064644049,1,3,9,1.08,255,"N[35, 1]",CAEL,0.926,1.12588032964832
2.074,2.45503743471879,0,2,8,1.21,319,"N[36, 1]",CAEL,0.926,1.12588032964832
5.67466666666667,4.20276897615531,1,5,16,1.23,187,"N[37, 1]",CAEL,0.926,1.12588032964832
6.062,3.97013820056106,1,5,16,1.11,125,"N[38, 1]",CAEL,0.926,1.12588032964832
1.42733333333333,1.72279760175322,0,1,6,1.08,243,"N[39, 1]",CAEL,0.926,1.12588032964832
3.36733333333333,3.22686762542307,0,3,12,1.17,197,"N[40, 1]",CAEL,0.926,1.12588032964832
4.13466666666667,3.90828794981741,0,3,14,1.09,128,"N[41, 1]",CAEL,0.926,1.12588032964832
2.21266666666667,2.87650640215,0,2,8,1.22,170,"N[42, 1]",CAEL,0.926,1.12588032964832
3.54466666666666,2.27584223108632,1,3,9,1.03,321,"N[43, 1]",CAEL,0.926,1.12588032964832
9.62333333333333,5.7705853538244,3,8,25,1.17,108,"N[44, 1]",CAEL,0.926,1.12588032964832
0.952000000000001,1.28431394456554,0,1,4,1.06,262,"N[45, 1]",CAEL,0.926,1.12588032964832
3.95266666666666,3.22159567212771,0,3,12,1.05,202,"N[46, 1]",CAEL,0.926,1.12588032964832
3.30733333333333,2.28071933301891,1,3,9,1.1,354,"N[47, 1]",CAEL,0.926,1.12588032964832
2.496,2.52921238270954,0,2,9,1.09,159,"N[48, 1]",CAEL,0.926,1.12588032964832
1.744,1.89864879449304,0,1,7,1.08,156,"N[49, 1]",CAEL,0.926,1.12588032964832
2.57066666666667,2.34563585421863,0,2,8,1.05,320,"N[50, 1]",CAEL,0.926,1.12588032964832
3.82,2.58251419868138,1,3,10.5249999999999,1.1,137,"N[51, 1]",CAEL,0.926,1.12588032964832
0.566666666666665,0.916214233264464,0,0,3,1.06,296,"N[52, 1]",CAEL,0.926,1.12588032964832
13.1253333333333,9.37515620802338,2,11,37,1.14,62,"N[53, 1]",CAEL,0.926,1.12588032964832
2.78133333333333,2.01102321347425,1,2,8,1.11,350,"N[54, 1]",CAEL,0.926,1.12588032964832
3.14266666666667,2.31240373412069,1,3,9,1.16,384,"N[55, 1]",CAEL,0.926,1.12588032964832
4.54933333333334,2.9457343945052,1,4,12,1.08,218,"N[56, 1]",CAEL,0.926,1.12588032964832
1.378,1.6559823424015,0,1,6,1.14,223,"N[57, 1]",CAEL,0.926,1.12588032964832
6.66266666666668,5.59741847800999,0,5,23.5249999999999,1.18,124,"N[58, 1]",CAEL,0.926,1.12588032964832
7.64133333333333,4.90354171694319,2,7,19,1.17,79,"N[59, 1]",CAEL,0.926,1.12588032964832
1.274,1.62788943605229,0,1,5,1.12,299,"N[60, 1]",CAEL,0.926,1.12588032964832
5.69066666666667,3.58750977324629,1,5,15,1.17,180,"N[61, 1]",CAEL,0.926,1.12588032964832
1.132,1.37106864141794,0,1,5,1.08,558,"N[62, 1]",CAEL,0.926,1.12588032964832
11.9346666666667,7.18188354052626,3,10,30,1.2,90,"N[63, 1]",CAEL,0.926,1.12588032964832
8.43133333333334,5.17085841423345,3,7,21,1.17,138,"N[64, 1]",CAEL,0.926,1.12588032964832
5.16733333333334,3.74584487017502,1,4,15,1.19,121,"N[65, 1]",CAEL,0.926,1.12588032964832
4.386,3.63691564886484,0,4,13.5249999999999,1.19,195,"N[66, 1]",CAEL,0.926,1.12588032964832
5.55400000000001,4.74490183202954,0,5,17,1.23,142,"N[67, 1]",CAEL,0.926,1.12588032964832
1.02866666666667,1.38122532961245,0,1,5,1.14,428,"N[68, 1]",CAEL,0.926,1.12588032964832
5.67266666666666,5.95996647270711,0,4,20,1.29,123,"N[69, 1]",CAEL,0.926,1.12588032964832
1.00466666666667,1.26927233368583,0,1,4,1.08,366,"N[70, 1]",CAEL,0.926,1.12588032964832
2.94066666666667,1.80091877324903,1,3,8,1.15,101,"N[71, 1]",CAEL,0.926,1.12588032964832
7.03333333333333,3.96350372735455,2,6,17,1.21,134,"N[72, 1]",CAEL,0.926,1.12588032964832
2.80666666666666,1.96329448607391,1,2,8,1.07,298,"N[73, 1]",CAEL,0.926,1.12588032964832
3.90866666666667,1.86153209930066,2,4,8,1.1,211,"N[74, 1]",CAEL,0.926,1.12588032964832
8.42866666666666,5.50876355208712,2,7,22,1.21,65,"N[75, 1]",CAEL,0.926,1.12588032964832
3.26266666666667,2.30648783788682,1,3,9,1.11,173,"N[76, 1]",CAEL,0.926,1.12588032964832
1.44133333333333,1.71206863420475,0,1,6,1.08,312,"N[77, 1]",CAEL,0.926,1.12588032964832
7.47933333333334,4.12790495147532,2,7,18,1.22,172,"N[78, 1]",CAEL,0.926,1.12588032964832
8.20866666666667,5.60827603299478,2,7,23,1.12,56,"N[79, 1]",CAEL,0.926,1.12588032964832
6.35266666666667,4.53424000730568,1,5,16.5249999999999,1.19,76,"N[80, 1]",CAEL,0.926,1.12588032964832
1.156,1.43004452782691,0,1,5,1.04,317,"N[81, 1]",CAEL,0.926,1.12588032964832
2.18933333333333,1.48378591312209,1,2,6,1.08,232,"N[82, 1]",CAEL,0.926,1.12588032964832
1.364,1.56752738244977,0,1,5,1.01,550,"N[83, 1]",CAEL,0.926,1.12588032964832
4.65666666666667,3.90174379288361,0,4,14,1.15,238,"N[84, 1]",CAEL,0.926,1.12588032964832
1.978,2.06082847644815,0,1,7.52499999999986,1.03,361,"N[85, 1]",CAEL,0.926,1.12588032964832
3.05066666666667,2.74902485389283,0,2,11,1.08,336,"N[86, 1]",CAEL,0.926,1.12588032964832
2.65933333333333,2.44033803437903,0,2,9,1.05,392,"N[87, 1]",CAEL,0.926,1.12588032964832
1.402,1.74195836516374,0,1,6,1.05,182,"N[88, 1]",CAEL,0.926,1.12588032964832
0.374666666666667,0.683083175002525,0,0,2,1.02,999,"N[1, 2]",CAEL,0.926,1.12588032964832
0.840666666666668,1.05894308748421,0,1,4,1.04,528,"N[2, 2]",CAEL,0.926,1.12588032964832
0.396666666666666,0.693524481442292,0,0,2,1.02,619,"N[3, 2]",CAEL,0.926,1.12588032964832
0.697333333333334,0.963160426699834,0,0,3,1.05,547,"N[4, 2]",CAEL,0.926,1.12588032964832
1.81066666666667,1.80877509209356,0,1,6,1.17,338,"N[5, 2]",CAEL,0.926,1.12588032964832
2.85,1.63420125519931,1,3,7,1.03,356,"N[6, 2]",CAEL,0.926,1.12588032964832
0.500666666666666,0.78128515486837,0,0,2.52499999999986,1.02,909,"N[7, 2]",CAEL,0.926,1.12588032964832
0.549333333333333,0.835881982108852,0,0,3,1.04,584,"N[8, 2]",CAEL,0.926,1.12588032964832
1.896,1.06986622644842,1,2,5,1.03,489,"N[9, 2]",CAEL,0.926,1.12588032964832
0.206666666666666,0.467726488025453,0,0,1,1.01,1152,"N[10, 2]",CAEL,0.926,1.12588032964832
0.407333333333333,0.699813819390622,0,0,2,1.05,814,"N[11, 2]",CAEL,0.926,1.12588032964832
4.97,1.76800751328854,3,5,9,1.09,303,"N[12, 2]",CAEL,0.926,1.12588032964832
0.430666666666666,0.768713320426773,0,0,2,1.07,722,"N[13, 2]",CAEL,0.926,1.12588032964832
0.666666666666667,0.929586813222824,0,0,3,1.06,764,"N[14, 2]",CAEL,0.926,1.12588032964832
0.726666666666664,1.00430472178768,0,0,3,1.03,708,"N[15, 2]",CAEL,0.926,1.12588032964832
1.40666666666667,0.710135022411649,1,1,3,1.04,591,"N[16, 2]",CAEL,0.926,1.12588032964832
0.477333333333333,0.767167030307274,0,0,3,1.01,819,"N[17, 2]",CAEL,0.926,1.12588032964832
0.760666666666667,1.03284271064483,0,0,3.52499999999986,1.03,511,"N[18, 2]",CAEL,0.926,1.12588032964832
0.250666666666666,0.505967941600556,0,0,2,1.04,1256,"N[19, 2]",CAEL,0.926,1.12588032964832
0.583999999999998,0.862229451142559,0,0,3,1.04,478,"N[20, 2]",CAEL,0.926,1.12588032964832
1.642,1.73084754445563,0,1,6,1.01,191,"N[21, 2]",CAEL,0.926,1.12588032964832
1.386,0.676246162711277,1,1,3,1.02,974,"N[22, 2]",CAEL,0.926,1.12588032964832
1.718,0.962857239007148,1,1,4,1.03,575,"N[23, 2]",CAEL,0.926,1.12588032964832
0.484666666666666,0.793001128255916,0,0,3,1.07,757,"N[24, 2]",CAEL,0.926,1.12588032964832
1.01333333333333,1.22616932613993,0,1,4,1.01,385,"N[25, 2]",CAEL,0.926,1.12588032964832
1.30333333333333,0.58156200454664,1,1,3,1.06,793,"N[26, 2]",CAEL,0.926,1.12588032964832
1.58266666666667,0.866987504972288,1,1,4,1.11,595,"N[27, 2]",CAEL,0.926,1.12588032964832
0.209999999999999,0.486543402985444,0,0,2,1.05,907,"N[28, 2]",CAEL,0.926,1.12588032964832
0.851333333333334,1.15388583659946,0,0,4,1.04,492,"N[29, 2]",CAEL,0.926,1.12588032964832
0.259333333333333,0.531916201532268,0,0,2,1.02,888,"N[30, 2]",CAEL,0.926,1.12588032964832
3.06933333333333,1.98573789615273,1,3,8,1.04,301,"N[31, 2]",CAEL,0.926,1.12588032964832
0.34,0.59719155930544,0,0,2,1.01,946,"N[32, 2]",CAEL,0.926,1.12588032964832
0.976000000000001,1.20016009605833,0,1,4,1.06,431,"N[33, 2]",CAEL,0.926,1.12588032964832
0.726000000000001,0.918415115411407,0,0,3,1.01,552,"N[34, 2]",CAEL,0.926,1.12588032964832
0.619333333333335,0.885597205560117,0,0,3,1.01,600,"N[35, 2]",CAEL,0.926,1.12588032964832
0.523333333333333,0.836214720588069,0,0,3,1,689,"N[36, 2]",CAEL,0.926,1.12588032964832
0.766,1.03406488841963,0,0,4,1.04,392,"N[37, 2]",CAEL,0.926,1.12588032964832
1.11533333333333,1.25395899627212,0,1,4,1.03,590,"N[38, 2]",CAEL,0.926,1.12588032964832
0.4,0.685307544795745,0,0,2,1.01,868,"N[39, 2]",CAEL,0.926,1.12588032964832
1.918,1.13201750977108,1,2,5,1,519,"N[40, 2]",CAEL,0.926,1.12588032964832
2.006,1.38150993957412,1,2,6,1.04,509,"N[41, 2]",CAEL,0.926,1.12588032964832
0.598000000000001,0.879912209824369,0,0,3,1,580,"N[42, 2]",CAEL,0.926,1.12588032964832
0.702000000000001,0.961498302645743,0,0,3,1.02,1058,"N[43, 2]",CAEL,0.926,1.12588032964832
1.576,1.5960123757882,0,1,6,1.06,261,"N[44, 2]",CAEL,0.926,1.12588032964832
0.282000000000002,0.584268984998532,0,0,2,1.04,908,"N[45, 2]",CAEL,0.926,1.12588032964832
1.07933333333333,1.33099734216067,0,1,5,1.07,632,"N[46, 2]",CAEL,0.926,1.12588032964832
0.646666666666666,0.902421815067898,0,0,3,1.01,723,"N[47, 2]",CAEL,0.926,1.12588032964832
0.690666666666667,0.958257999958888,0,0,3,1.01,399,"N[48, 2]",CAEL,0.926,1.12588032964832
0.516000000000001,0.778555135319577,0,0,2,1.04,636,"N[49, 2]",CAEL,0.926,1.12588032964832
0.64,0.873446395457184,0,0,3,1.04,525,"N[50, 2]",CAEL,0.926,1.12588032964832
1.63,0.93827158597392,1,1,4,1.05,380,"N[51, 2]",CAEL,0.926,1.12588032964832
0.171333333333334,0.436010273802649,0,0,1,1.02,1134,"N[52, 2]",CAEL,0.926,1.12588032964832
3.67666666666667,2.88496173718802,0,3,11,1.06,147,"N[53, 2]",CAEL,0.926,1.12588032964832
0.480666666666667,0.769862334597372,0,0,2,1,774,"N[54, 2]",CAEL,0.926,1.12588032964832
0.597333333333333,0.85694172592811,0,0,3,1.03,592,"N[55, 2]",CAEL,0.926,1.12588032964832
2.39,1.29319303746763,1,2,6,1.03,617,"N[56, 2]",CAEL,0.926,1.12588032964832
0.358666666666667,0.662055209396532,0,0,2,1,905,"N[57, 2]",CAEL,0.926,1.12588032964832
2.11,1.75459940709732,0,2,6,1.05,345,"N[58, 2]",CAEL,0.926,1.12588032964832
1.91333333333334,1.73891866235842,0,2,6,1.08,348,"N[59, 2]",CAEL,0.926,1.12588032964832
0.340666666666667,0.617144067531197,0,0,2,1.02,962,"N[60, 2]",CAEL,0.926,1.12588032964832
2.188,1.29580428273695,1,2,5.52499999999986,1.06,398,"N[61, 2]",CAEL,0.926,1.12588032964832
0.326,0.609895057629486,0,0,2,1.01,952,"N[62, 2]",CAEL,0.926,1.12588032964832
4.81533333333333,2.22662752512539,2,4,11,1.05,308,"N[63, 2]",CAEL,0.926,1.12588032964832
1.49133333333334,1.49780522851179,0,1,5,1.04,358,"N[64, 2]",CAEL,0.926,1.12588032964832
1.40733333333334,1.52675042714915,0,1,5,1.07,296,"N[65, 2]",CAEL,0.926,1.12588032964832
1.16733333333333,1.27347845963211,0,1,4,1.03,592,"N[66, 2]",CAEL,0.926,1.12588032964832
1.51933333333333,1.53292513250435,0,1,5,1.02,484,"N[67, 2]",CAEL,0.926,1.12588032964832
0.322000000000001,0.602127648540366,0,0,2,1.01,976,"N[68, 2]",CAEL,0.926,1.12588032964832
1.56533333333333,1.62053972127017,0,1,6,1.04,449,"N[69, 2]",CAEL,0.926,1.12588032964832
0.268,0.552913322406618,0,0,2,1.07,943,"N[70, 2]",CAEL,0.926,1.12588032964832
0.43,0.708120250752901,0,0,2,1.02,1046,"N[71, 2]",CAEL,0.926,1.12588032964832
1.47133333333333,1.46376453934367,0,1,5,1.03,469,"N[72, 2]",CAEL,0.926,1.12588032964832
0.518666666666667,0.799631892183874,0,0,3,1.02,733,"N[73, 2]",CAEL,0.926,1.12588032964832
0.451333333333334,0.725706084975218,0,0,2,1.01,872,"N[74, 2]",CAEL,0.926,1.12588032964832
1.95333333333333,1.82356038302435,0,2,7,1.05,288,"N[75, 2]",CAEL,0.926,1.12588032964832
0.718666666666667,0.950852759124797,0,0,3,1.02,555,"N[76, 2]",CAEL,0.926,1.12588032964832
0.418666666666667,0.72828920010864,0,0,2,1.02,677,"N[77, 2]",CAEL,0.926,1.12588032964832
1.42733333333333,1.48891374217694,0,1,5,1.04,306,"N[78, 2]",CAEL,0.926,1.12588032964832
1.664,1.74350141902211,0,1,6,1.01,195,"N[79, 2]",CAEL,0.926,1.12588032964832
3.08533333333334,1.74549402418949,1,3,7,1.06,352,"N[80, 2]",CAEL,0.926,1.12588032964832
0.392666666666667,0.692916284655359,0,0,2,1.04,893,"N[81, 2]",CAEL,0.926,1.12588032964832
0.391333333333332,0.683985950203369,0,0,2,1.05,912,"N[82, 2]",CAEL,0.926,1.12588032964832
0.328666666666667,0.641549644366159,0,0,2,1.02,825,"N[83, 2]",CAEL,0.926,1.12588032964832
1.18,1.36559262916113,0,1,5,1.01,386,"N[84, 2]",CAEL,0.926,1.12588032964832
0.459333333333333,0.781933822364313,0,0,3,1.04,662,"N[85, 2]",CAEL,0.926,1.12588032964832
0.734000000000001,1.0500694090595,0,0,3,1.03,502,"N[86, 2]",CAEL,0.926,1.12588032964832
0.809333333333333,1.04452872102922,0,1,4,1.03,930,"N[87, 2]",CAEL,0.926,1.12588032964832
0.406000000000001,0.694851935888893,0,0,2,1.04,1203,"N[88, 2]",CAEL,0.926,1.12588032964832
0.448666666666666,0.830155202755878,0,0,3,1.03,462,"N[1, 3]",CAEL,0.926,1.12588032964832
0.985333333333334,1.31133441737479,0,1,4,1.08,221,"N[2, 3]",CAEL,0.926,1.12588032964832
0.462666666666667,0.769199150921325,0,0,3,1.02,408,"N[3, 3]",CAEL,0.926,1.12588032964832
0.644666666666667,1.03559315902347,0,0,3,1.04,305,"N[4, 3]",CAEL,0.926,1.12588032964832
5.17133333333333,2.53605979590674,2,5,11,1.06,133,"N[5, 3]",CAEL,0.926,1.12588032964832
1.51,1.8414198918621,0,1,6,1.1,112,"N[6, 3]",CAEL,0.926,1.12588032964832
0.57,0.849459271558098,0,0,3,1.01,434,"N[7, 3]",CAEL,0.926,1.12588032964832
0.553333333333333,0.84673896024695,0,0,3,1.01,489,"N[8, 3]",CAEL,0.926,1.12588032964832
0.972000000000001,1.27604918963033,0,1,4,1.06,314,"N[9, 3]",CAEL,0.926,1.12588032964832
0.209333333333333,0.508938995843201,0,0,2,1.04,785,"N[10, 3]",CAEL,0.926,1.12588032964832
0.427333333333333,0.739200356466511,0,0,2,1.01,474,"N[11, 3]",CAEL,0.926,1.12588032964832
1.92533333333333,2.01124877542453,0,1,7,1.04,104,"N[12, 3]",CAEL,0.926,1.12588032964832
0.453333333333334,0.779033686399539,0,0,3,1.02,427,"N[13, 3]",CAEL,0.926,1.12588032964832
0.694666666666667,1.0434705439412,0,0,3,1.04,567,"N[14, 3]",CAEL,0.926,1.12588032964832
0.895333333333335,1.19275311592659,0,1,4,1.06,271,"N[15, 3]",CAEL,0.926,1.12588032964832
0.412,0.727513241811684,0,0,2,1.01,535,"N[16, 3]",CAEL,0.926,1.12588032964832
0.642666666666667,0.975507029634069,0,0,3,1.02,494,"N[17, 3]",CAEL,0.926,1.12588032964832
0.853333333333334,1.14047768432991,0,1,4,1.02,302,"N[18, 3]",CAEL,0.926,1.12588032964832
0.29,0.633114436148401,0,0,2,1.02,537,"N[19, 3]",CAEL,0.926,1.12588032964832
0.702000000000001,1.02268923049711,0,0,3,1.02,411,"N[20, 3]",CAEL,0.926,1.12588032964832
1.94933333333333,1.99802259373585,0,1,7,1.05,215,"N[21, 3]",CAEL,0.926,1.12588032964832
