mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.236266296150552,0.107971288669303,0.0435922402180349,0.238564863000301,0.418703425403873,6.18,21,trend,FOTH,0.0186666666666667,0.934243395033776
0.492501618220352,0.26770450705663,-0.000365344331584761,0.53575169721502,0.886468588074005,8.04,7,trend2,FOTH,0.0186666666666667,0.934243395033776
636.890666666667,131.452971576094,456.4,603,969.25,1.44,22,totalN[1],FOTH,0.0186666666666667,0.934243395033776
637.717333333333,107.768741776546,455.1,633,849.849999999999,1.9,29,totalN[2],FOTH,0.0186666666666667,0.934243395033776
761.634666666667,163.82066748269,540.4,715,1184.5,1.28,12,totalN[3],FOTH,0.0186666666666667,0.934243395033776
784.088,142.52734136801,508,797,1042,2.27,11,totalN[4],FOTH,0.0186666666666667,0.934243395033776
556.930666666667,43.1655870724397,488,554,650.3,1.71,64,totalN[5],FOTH,0.0186666666666667,0.934243395033776
544.869333333333,39.2738431048983,476,547,623.65,1.01,34,totalN[6],FOTH,0.0186666666666667,0.934243395033776
673.472,59.6680984104106,579,668,826.2,1.5,24,totalN[7],FOTH,0.0186666666666667,0.934243395033776
881.256,84.836039158526,742.05,869,1053.9,1.41,26,totalN[8],FOTH,0.0186666666666667,0.934243395033776
678.594666666667,143.469559175395,428.4,687,922.3,1.1,14,totalN[9],FOTH,0.0186666666666667,0.934243395033776
471.589333333333,1037.31375721233,28.7,248,2021.35,1.26,375,totalN[10],FOTH,0.0186666666666667,0.934243395033776
656.930666666667,58.6718007800478,535,659,780.3,1.08,35,totalN[11],FOTH,0.0186666666666667,0.934243395033776
529.485333333333,57.6491246746867,434.7,523,655.95,1.18,44,totalN[12],FOTH,0.0186666666666667,0.934243395033776
529.002666666667,36.8620421748129,462.7,526,597,1.8,65,totalN[13],FOTH,0.0186666666666667,0.934243395033776
842.648,164.862505798565,643.4,820,1401.95,1.63,21,totalN[14],FOTH,0.0186666666666667,0.934243395033776
514.498666666667,52.4118243316169,422.05,510,615.3,1.15,49,totalN[15],FOTH,0.0186666666666667,0.934243395033776
0.247860170591561,0.0454185632376174,0.153442380091857,0.252596049786561,0.327679565394494,1.47,21,anndet[1],FOTH,0.0186666666666667,0.934243395033776
0.180685773649652,0.0309108289416946,0.132765967819186,0.173772030037776,0.248087793509089,2.12,38,anndet[2],FOTH,0.0186666666666667,0.934243395033776
0.212176973676757,0.0392733009708911,0.131341157105231,0.215928106093107,0.284498921121893,1.15,12,anndet[3],FOTH,0.0186666666666667,0.934243395033776
0.157306594169961,0.0315190694850154,0.114935614583685,0.151295098620548,0.235153442511078,2.52,17,anndet[4],FOTH,0.0186666666666667,0.934243395033776
0.301883383948082,0.0218893872013418,0.261427698533348,0.300635796224133,0.342441599578055,1.78,66,anndet[5],FOTH,0.0186666666666667,0.934243395033776
0.384970536674372,0.0266234194310074,0.33895664797939,0.384063628504665,0.43614177580142,1.01,36,anndet[6],FOTH,0.0186666666666667,0.934243395033776
0.357118083094637,0.0287585529448572,0.289357758849724,0.358445470005986,0.40902343131615,1.5,26,anndet[7],FOTH,0.0186666666666667,0.934243395033776
0.278320749692624,0.02633783788606,0.22955763700433,0.279413213708094,0.328293425174813,1.42,23,anndet[8],FOTH,0.0186666666666667,0.934243395033776
0.130603441923238,0.0299358677501397,0.0912939820882628,0.124649378301417,0.197366150840644,1.09,21,anndet[9],FOTH,0.0186666666666667,0.934243395033776
0.29615939716822,0.174052225223812,0.113359300819493,0.243044815081096,0.812257181386459,1.7,315,anndet[10],FOTH,0.0186666666666667,0.934243395033776
0.284418303492012,0.0250012308621792,0.237042878803646,0.282452738977619,0.334706773851557,1.08,34,anndet[11],FOTH,0.0186666666666667,0.934243395033776
0.240763256060861,0.0238966998315464,0.195317382296039,0.240698949896791,0.286884854962167,1.11,44,anndet[12],FOTH,0.0186666666666667,0.934243395033776
0.426213586662039,0.0287783597387804,0.374289380179342,0.426966833960834,0.481006067391989,2.03,57,anndet[13],FOTH,0.0186666666666667,0.934243395033776
0.187085491994371,0.0286646706573541,0.109315248279187,0.186710710420755,0.236908442638296,1.56,28,anndet[14],FOTH,0.0186666666666667,0.934243395033776
0.329102087168293,0.0330224126073195,0.269519177299975,0.326997269743111,0.398070654591398,1.13,48,anndet[15],FOTH,0.0186666666666667,0.934243395033776
