mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
-0.288981941369984,0.406872322453068,-0.799524958823693,-0.452833867699424,0.314655027472889,9.37,16,trend,GTCA,0.514666666666667,1.0045777407584
0.336166278952312,0.47543208086183,-0.174924438235973,0.106704970999558,1.07628236803963,10.94,15,trend2,GTCA,0.514666666666667,1.0045777407584
205.685333333334,139.593248589226,58.05,165,603.4,2.22,17,totalN[1],GTCA,0.514666666666667,1.0045777407584
140.650666666667,78.7180244451614,42,122,300.95,3.85,23,totalN[2],GTCA,0.514666666666667,1.0045777407584
139.285333333333,59.8743887766092,57,131,280.6,2.34,26,totalN[3],GTCA,0.514666666666667,1.0045777407584
296,147.554123125506,141.35,250,711.249999999999,2.24,22,totalN[4],GTCA,0.514666666666667,1.0045777407584
140.792,47.0258711365322,71.35,133,246.65,1.08,28,totalN[5],GTCA,0.514666666666667,1.0045777407584
214.786666666667,136.014989474888,81.35,153,542.45,2.57,34,totalN[6],GTCA,0.514666666666667,1.0045777407584
104.104,34.2787778315632,48,102,179.25,1.36,37,totalN[7],GTCA,0.514666666666667,1.0045777407584
46.0560000000001,34.0947807569767,7,30,114.65,4.21,53,totalN[8],GTCA,0.514666666666667,1.0045777407584
82.0533333333333,43.6278909629519,25.35,73,217.25,1.39,55,totalN[9],GTCA,0.514666666666667,1.0045777407584
405.904,2084.57216948629,2.7,75,2849.24999999998,1.32,240,totalN[10],GTCA,0.514666666666667,1.0045777407584
43.6879999999999,24.5937307780436,9.35,39,96.9499999999999,2.38,53,totalN[11],GTCA,0.514666666666667,1.0045777407584
45.8373333333333,25.6416625666129,12,43,106,2.34,38,totalN[12],GTCA,0.514666666666667,1.0045777407584
33.8,16.7823436630147,11,31,68,2.44,55,totalN[13],GTCA,0.514666666666667,1.0045777407584
20.9653333333333,18.7247547932606,0,14,60.65,4.56,36,totalN[14],GTCA,0.514666666666667,1.0045777407584
659.530666666666,920.296728184615,7,52,2648.55,10.34,27,totalN[15],GTCA,0.514666666666667,1.0045777407584
0.0618069682671773,0.0357334461556068,0.0166910784144736,0.0529944695801453,0.1489946273426,1.85,19,anndet[1],GTCA,0.514666666666667,1.0045777407584
0.142810702382745,0.083854476940184,0.0463170410966599,0.118948471010611,0.326339311359752,2.62,28,anndet[2],GTCA,0.514666666666667,1.0045777407584
0.0782146728709131,0.0362150477036123,0.0332101702284356,0.0695605245074972,0.171890878159494,1.8,63,anndet[3],GTCA,0.514666666666667,1.0045777407584
0.0725157526912302,0.029521122617006,0.0258000315914484,0.0721152567250536,0.128291132300603,1.98,53,anndet[4],GTCA,0.514666666666667,1.0045777407584
0.087641827696744,0.0310282291927016,0.0430713096286104,0.0830112372404117,0.159385393224806,1.09,31,anndet[5],GTCA,0.514666666666667,1.0045777407584
0.0875626851230822,0.0389760413437049,0.0265301633490482,0.0916403002163271,0.162289683448383,2.35,32,anndet[6],GTCA,0.514666666666667,1.0045777407584
0.075749476795268,0.030484499017049,0.0382326778790723,0.0677856206290277,0.153014505318969,1.46,86,anndet[7],GTCA,0.514666666666667,1.0045777407584
0.0518578662079555,0.0365759283015039,0.00761513173239457,0.0437796890031696,0.135595563324689,1.89,77,anndet[8],GTCA,0.514666666666667,1.0045777407584
0.0541726609129183,0.0277224950690811,0.0190363955959554,0.0473839690965594,0.128409816388572,1.28,101,anndet[9],GTCA,0.514666666666667,1.0045777407584
0.0883420676447362,0.0786391307417674,0.0134222043790102,0.066023343211773,0.250617125961563,1.08,198,anndet[10],GTCA,0.514666666666667,1.0045777407584
0.0698028711342379,0.0478977882128354,0.0181040328366671,0.0552925529974472,0.182384761699631,1.68,93,anndet[11],GTCA,0.514666666666667,1.0045777407584
0.072529940086533,0.0454109532138897,0.020696279264794,0.0616415548177908,0.179255047244628,1.96,97,anndet[12],GTCA,0.514666666666667,1.0045777407584
0.083104115186561,0.0453419154007914,0.0258518222756012,0.0729923993221806,0.192269070376131,1.66,103,anndet[13],GTCA,0.514666666666667,1.0045777407584
0.0496950637369528,0.0432545990854063,0.00858341070518213,0.0351872573033027,0.162195700416411,1.67,91,anndet[14],GTCA,0.514666666666667,1.0045777407584
0.0115040890229327,0.0336559759491856,0.000369485789673353,0.00325905765998505,0.0593233890585907,1.42,199,anndet[15],GTCA,0.514666666666667,1.0045777407584
2.736,1.99656389321232,1,2,8,1.29,129,"N[1, 1]",GTCA,0.514666666666667,1.0045777407584
2.13066666666667,2.29658973712707,0,1,8,1.65,67,"N[2, 1]",GTCA,0.514666666666667,1.0045777407584
2.53333333333334,2.51377665749743,0,2,9,1.47,64,"N[3, 1]",GTCA,0.514666666666667,1.0045777407584
1.768,2.08047711516805,0,1,7,1.49,98,"N[4, 1]",GTCA,0.514666666666667,1.0045777407584
1.38933333333333,1.70023381007221,0,1,6.64999999999998,1.04,96,"N[5, 1]",GTCA,0.514666666666667,1.0045777407584
1.608,1.83210816297936,0,1,6.64999999999998,1.25,126,"N[6, 1]",GTCA,0.514666666666667,1.0045777407584
1.76,1.85604951068021,0,1,6.64999999999998,1.24,116,"N[7, 1]",GTCA,0.514666666666667,1.0045777407584
