mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.57110282188681,0.171967439094625,0.340671264378899,0.510880895632699,0.867296481413949,5.66,21,trend,MTOR,0.381333333333333,0.988942223432673
0.611651399182015,0.287339403934485,0.147454682658511,0.739196611635629,0.992454075814105,12.26,12,trend2,MTOR,0.381333333333333,0.988942223432673
294.616,95.325346411378,173,271,551.25,2.25,18,totalN[1],MTOR,0.381333333333333,0.988942223432673
229.437333333333,51.0310348409088,159,224,352.3,1.52,24,totalN[2],MTOR,0.381333333333333,0.988942223432673
232.296,58.5891191007797,148,221,359.55,1.07,18,totalN[3],MTOR,0.381333333333333,0.988942223432673
196.445333333333,46.5103240029478,133,185,295.9,1.85,19,totalN[4],MTOR,0.381333333333333,0.988942223432673
417.296,64.1664393264024,318.4,410,580.55,1.22,28,totalN[5],MTOR,0.381333333333333,0.988942223432673
334.736,48.9869256812523,255.35,332,438.95,1.22,19,totalN[6],MTOR,0.381333333333333,0.988942223432673
344.026666666667,57.0223648152772,254.35,339,490.25,1.12,20,totalN[7],MTOR,0.381333333333333,0.988942223432673
608.989333333333,151.863257846587,395.45,569,931,1.77,15,totalN[8],MTOR,0.381333333333333,0.988942223432673
340.909333333333,78.2012164882974,226.7,328,565.55,1.03,20,totalN[9],MTOR,0.381333333333333,0.988942223432673
300.184,356.680433012687,34.35,238,956.599999999998,1.16,342,totalN[10],MTOR,0.381333333333333,0.988942223432673
381.824,98.7379774580853,261.35,363,626.25,2.32,19,totalN[11],MTOR,0.381333333333333,0.988942223432673
506.909333333333,104.325807499951,335,496,719.55,2.07,19,totalN[12],MTOR,0.381333333333333,0.988942223432673
512.032,97.6289715482115,362,503,741.95,1.35,19,totalN[13],MTOR,0.381333333333333,0.988942223432673
526.482666666667,181.539271375902,265,503,944,3.33,19,totalN[14],MTOR,0.381333333333333,0.988942223432673
606.480000000001,236.210001282508,322.4,553,1272.25,2.89,21,totalN[15],MTOR,0.381333333333333,0.988942223432673
0.179620086697484,0.0515778506837752,0.0879765093186206,0.180349627701386,0.283874345306638,2.1,23,anndet[1],MTOR,0.381333333333333,0.988942223432673
0.184066604937669,0.0399910517655565,0.11423811046306,0.183031202728051,0.257272856932392,1.42,24,anndet[2],MTOR,0.381333333333333,0.988942223432673
0.205410096363089,0.0493192079201756,0.126625912858267,0.203422481704827,0.307046665660133,1.05,22,anndet[3],MTOR,0.381333333333333,0.988942223432673
0.285370807737162,0.0611001896365306,0.181093751649943,0.288620196005455,0.402883667664638,1.9,19,anndet[4],MTOR,0.381333333333333,0.988942223432673
0.210305248924124,0.030029368688246,0.14809499596618,0.207467869141751,0.269497287737553,1.16,33,anndet[5],MTOR,0.381333333333333,0.988942223432673
0.262328210053302,0.0354944277154077,0.194319431128797,0.260107098705372,0.333794858892366,1.2,28,anndet[6],MTOR,0.381333333333333,0.988942223432673
0.304911254909383,0.0462261350364252,0.209538308264262,0.303525204443166,0.394819595693349,1.05,28,anndet[7],MTOR,0.381333333333333,0.988942223432673
0.191363374754136,0.0443832568376316,0.117322879701739,0.191782095003543,0.273750554047273,1.64,19,anndet[8],MTOR,0.381333333333333,0.988942223432673
0.187285541462759,0.039031861411811,0.108368003871496,0.186583399816125,0.269877338235351,1.04,31,anndet[9],MTOR,0.381333333333333,0.988942223432673
0.228325333425865,0.117266850649049,0.0666243168120549,0.205357249197711,0.513137425232364,1.17,183,anndet[10],MTOR,0.381333333333333,0.988942223432673
0.233644631615241,0.052311673143956,0.138753574266957,0.234130124556852,0.31765633812572,2.29,16,anndet[11],MTOR,0.381333333333333,0.988942223432673
0.17509999831421,0.0321572904585551,0.117809052492902,0.172432895849566,0.242843676290237,2.14,23,anndet[12],MTOR,0.381333333333333,0.988942223432673
0.18950569110534,0.0341785849536179,0.126403043321045,0.186242153471873,0.260196668618913,1.32,23,anndet[13],MTOR,0.381333333333333,0.988942223432673
0.116253353195894,0.0372927104332429,0.0602213116616546,0.109110922577994,0.191372976310278,3.44,25,anndet[14],MTOR,0.381333333333333,0.988942223432673
0.133065699621725,0.0451643669216755,0.0586853670090804,0.129639487485426,0.22417715999208,2.7,23,anndet[15],MTOR,0.381333333333333,0.988942223432673
3.23733333333333,1.31209647051964,2,3,7,1.29,134,"N[1, 1]",MTOR,0.381333333333333,0.988942223432673
2.88533333333333,1.67561093761657,1,3,7,1.17,178,"N[2, 1]",MTOR,0.381333333333333,0.988942223432673
2.02133333333334,1.83826625285873,0,2,6.64999999999998,1.22,110,"N[3, 1]",MTOR,0.381333333333333,0.988942223432673
4.952,2.28523276058557,2,4,11,1.36,109,"N[4, 1]",MTOR,0.381333333333333,0.988942223432673
2.85066666666667,1.70061119347502,1,2,7,1.44,184,"N[5, 1]",MTOR,0.381333333333333,0.988942223432673
6.656,2.40799914722745,3,6,12,1.53,90,"N[6, 1]",MTOR,0.381333333333333,0.988942223432673
6.824,2.12596879457532,4,7,12,1.22,129,"N[7, 1]",MTOR,0.381333333333333,0.988942223432673
3.27466666666667,2.05974229563329,1,3,8,1.5,177,"N[8, 1]",MTOR,0.381333333333333,0.988942223432673
3.32533333333333,2.0307195145762,1,3,8.64999999999998,1.19,261,"N[9, 1]",MTOR,0.381333333333333,0.988942223432673
8.072,3.0856992897805,4,7,16,1.47,61,"N[10, 1]",MTOR,0.381333333333333,0.988942223432673
4.07733333333333,2.46187905569069,1,4,10,1.4,187,"N[11, 1]",MTOR,0.381333333333333,0.988942223432673
5.856,3.05748140033082,2,5,13,1.87,149,"N[12, 1]",MTOR,0.381333333333333,0.988942223432673
5.01333333333334,2.10228633709522,2,5,10,1.38,118,"N[13, 1]",MTOR,0.381333333333333,0.988942223432673
4.73066666666666,2.37624008341883,1,4,10.65,1.51,165,"N[14, 1]",MTOR,0.381333333333333,0.988942223432673
6.23466666666667,2.6565172273046,2,6,12.65,1.43,70,"N[15, 1]",MTOR,0.381333333333333,0.988942223432673
3.792,1.50558319220929,2,3,8,1.26,223,"N[16, 1]",MTOR,0.381333333333333,0.988942223432673
5.264,3.00750576210436,1,5,12.65,1.33,76,"N[17, 1]",MTOR,0.381333333333333,0.988942223432673
5.976,2.19429498501987,3,6,11,1.23,127,"N[18, 1]",MTOR,0.381333333333333,0.988942223432673
3.488,1.92207552701521,1,3,8,1.62,137,"N[19, 1]",MTOR,0.381333333333333,0.988942223432673
2.38133333333333,2.00964873971572,0,2,7,1.19,98,"N[20, 1]",MTOR,0.381333333333333,0.988942223432673
1.136,1.18147917803419,0,1,4,1.22,152,"N[21, 1]",MTOR,0.381333333333333,0.988942223432673
3.64,2.70195017706809,0,3,11,1.39,157,"N[22, 1]",MTOR,0.381333333333333,0.988942223432673
1.34133333333333,1.36838768208606,0,1,5,1.21,236,"N[23, 1]",MTOR,0.381333333333333,0.988942223432673
3.13066666666667,1.69979342353989,1,3,7,1.32,93,"N[24, 1]",MTOR,0.381333333333333,0.988942223432673
5.48266666666667,2.8667545482529,1,5,12,1.24,121,"N[25, 1]",MTOR,0.381333333333333,0.988942223432673
4.08266666666667,1.93091741608391,2,4,9,1.43,137,"N[26, 1]",MTOR,0.381333333333333,0.988942223432673
1.28266666666667,1.32038453859785,0,1,5,1.25,233,"N[27, 1]",MTOR,0.381333333333333,0.988942223432673
0.711999999999999,0.95751460803422,0,0,3,1.1,273,"N[28, 1]",MTOR,0.381333333333333,0.988942223432673
