mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.505834350350801,0.139240242143179,0.270697539569551,0.527193695635055,0.754655501788352,6.09,9,trend,PETH,0,0.834045378829096
0.934352797820016,0.0985794140574991,0.766791382476484,0.921595724860747,1.10788965144879,8.17,15,trend2,PETH,0,0.834045378829096
1197.008,146.599740426265,1004,1159,1521.95,1.71,19,totalN[1],PETH,0,0.834045378829096
932.461333333333,89.5989458334983,797,923,1129.95,2.33,18,totalN[2],PETH,0,0.834045378829096
856.621333333333,79.2068001546006,728.45,838,1044.7,1.4,41,totalN[3],PETH,0,0.834045378829096
1132.09333333333,282.336895006019,771.35,1050,1733.95,2.98,12,totalN[4],PETH,0,0.834045378829096
1087.06933333333,63.0972044715233,969.05,1085,1226.65,1.23,37,totalN[5],PETH,0,0.834045378829096
898.216,32.9091889383124,844.35,895,976.3,1,73,totalN[6],PETH,0,0.834045378829096
868.168,42.2141350481206,794.35,862,953,1.14,27,totalN[7],PETH,0,0.834045378829096
1014.71733333333,53.5652442721901,924.35,1006,1121.65,1.39,29,totalN[8],PETH,0,0.834045378829096
689.554666666667,96.6581526522895,561.35,665,908.149999999999,2.19,19,totalN[9],PETH,0,0.834045378829096
813.733333333335,2774.47524996277,18.4,326,4007.74999999999,1.28,422,totalN[10],PETH,0,0.834045378829096
903.021333333333,36.6198066469388,838,901,979.65,1.04,61,totalN[11],PETH,0,0.834045378829096
948.981333333333,44.0602671037626,862.05,948,1042.55,1.53,64,totalN[12],PETH,0,0.834045378829096
822.928,44.0736821078686,758.35,817,915.3,1.11,36,totalN[13],PETH,0,0.834045378829096
725.976,53.777885043818,645.05,708,839.95,1.51,24,totalN[14],PETH,0,0.834045378829096
643.088,25.3974869277649,602.7,643,694.3,1.02,92,totalN[15],PETH,0,0.834045378829096
0.363896821576314,0.0414103021839772,0.284867435140696,0.370833644813462,0.434776077004867,1.74,18,anndet[1],PETH,0,0.834045378829096
0.436111224954566,0.0396937497068797,0.356353457344571,0.436593638086966,0.505825160251141,2.26,20,anndet[2],PETH,0,0.834045378829096
0.427818470293645,0.0373903481721996,0.351237755293529,0.432589094170396,0.508671946753218,1.34,35,anndet[3],PETH,0,0.834045378829096
0.309092898800803,0.0718283590383259,0.188497256285804,0.313730454834024,0.428911828087365,3.85,11,anndet[4],PETH,0,0.834045378829096
0.467764402752561,0.0273652685713529,0.414369331815498,0.469605718128284,0.516921348235652,1.29,35,anndet[5],PETH,0,0.834045378829096
0.573457201526463,0.0209726557396239,0.52882714802563,0.575038067826977,0.609657068291041,1.02,54,anndet[6],PETH,0,0.834045378829096
0.567673410175599,0.0271746892947025,0.519318738663855,0.570197157611882,0.621794988006869,1.13,25,anndet[7],PETH,0,0.834045378829096
0.506139780228586,0.0262693520578205,0.456097844980999,0.50817582738628,0.553901075550307,1.44,31,anndet[8],PETH,0,0.834045378829096
0.459827820735214,0.0590587041298042,0.34392948686594,0.469025572994155,0.559079501280191,2.33,18,anndet[9],PETH,0,0.834045378829096
0.54612114408034,0.183113009979297,0.13579589184178,0.54429091385468,0.896490458436735,1.3,363,anndet[10],PETH,0,0.834045378829096
0.597644870364764,0.0237360934103147,0.554125848843778,0.597066238106434,0.645024158827585,1.05,44,anndet[11],PETH,0,0.834045378829096
0.499180326580677,0.0219698796551623,0.457640188593872,0.498483444577577,0.545052060399748,1.61,57,anndet[12],PETH,0,0.834045378829096
0.575272511944191,0.030210605996489,0.514378220533929,0.579449810138991,0.630439775532217,1.1,33,anndet[13],PETH,0,0.834045378829096
0.586972526659082,0.0412132639719354,0.507539868105969,0.594686763518906,0.65556827700232,1.53,27,anndet[14],PETH,0,0.834045378829096
0.674581380053199,0.0266688005393848,0.62075348423329,0.675184798139678,0.721445655211367,1.02,79,anndet[15],PETH,0,0.834045378829096
13.1786666666667,2.41487664975079,9.35,13,19,1.15,162,"N[1, 1]",PETH,0,0.834045378829096
14.1733333333333,3.17566504607279,9,14,22,1.26,193,"N[2, 1]",PETH,0,0.834045378829096
13.1653333333333,2.90111048871569,8,13,19.65,1.13,174,"N[3, 1]",PETH,0,0.834045378829096
14.768,2.67230598011098,10,14,21,1.2,81,"N[4, 1]",PETH,0,0.834045378829096
13.0933333333333,2.50759985663547,9,13,19,1.17,203,"N[5, 1]",PETH,0,0.834045378829096
10.744,2.85262989646452,6,10,17,1.19,142,"N[6, 1]",PETH,0,0.834045378829096
13.2666666666667,2.54338469447699,9,13,19,1.14,191,"N[7, 1]",PETH,0,0.834045378829096
16.728,3.24748195336528,11,16,23.65,1.19,124,"N[8, 1]",PETH,0,0.834045378829096
13.9413333333333,3.01808689153386,9,13,21,1.31,96,"N[9, 1]",PETH,0,0.834045378829096
9.40533333333333,2.03471826830462,6,9,14,1.23,138,"N[10, 1]",PETH,0,0.834045378829096
12.68,3.1468514100274,7,12,20,1.2,85,"N[11, 1]",PETH,0,0.834045378829096
13.7706666666667,2.75675026331009,9,14,20,1.17,146,"N[12, 1]",PETH,0,0.834045378829096
19.0826666666667,3.28846522941362,14,19,26,1.23,87,"N[13, 1]",PETH,0,0.834045378829096
13.4053333333333,2.83427707885358,9,13,20,1.19,116,"N[14, 1]",PETH,0,0.834045378829096
13.512,2.86118034055466,8,13,20,1.18,99,"N[15, 1]",PETH,0,0.834045378829096
12.728,2.63981039669164,8,13,19,1.25,124,"N[16, 1]",PETH,0,0.834045378829096
11.4853333333333,3.04584811355356,6,11,17,1.15,169,"N[17, 1]",PETH,0,0.834045378829096
9.8,2.54583648776976,6,9,16,1.3,187,"N[18, 1]",PETH,0,0.834045378829096
15.112,3.21647496958184,10,15,22,1.14,147,"N[19, 1]",PETH,0,0.834045378829096
13.4586666666667,3.05961679005081,9,13,20.65,1.26,166,"N[20, 1]",PETH,0,0.834045378829096
10.9466666666667,2.62695475134178,7,11,17,1.21,119,"N[21, 1]",PETH,0,0.834045378829096
17.8746666666667,3.20807359413453,13,17,25,1.27,84,"N[22, 1]",PETH,0,0.834045378829096
13.4293333333333,2.84157321292637,9,13,20,1.22,104,"N[23, 1]",PETH,0,0.834045378829096
14.7253333333333,2.98960289841245,10,14,22,1.16,215,"N[24, 1]",PETH,0,0.834045378829096
10.3813333333333,2.72072130521988,6,10,16,1.26,181,"N[25, 1]",PETH,0,0.834045378829096
11.376,2.70570006361101,7,11,17.65,1.21,105,"N[26, 1]",PETH,0,0.834045378829096
13.7653333333333,3.11428884481075,9,13,20,1.18,114,"N[27, 1]",PETH,0,0.834045378829096
13.0693333333333,3.13944941072404,8,13,20.65,1.31,152,"N[28, 1]",PETH,0,0.834045378829096
14.4213333333333,2.93304487319304,10,14,20.65,1.26,86,"N[29, 1]",PETH,0,0.834045378829096
15.7066666666667,4.67148974089497,8,15,26.65,1.11,240,"N[30, 1]",PETH,0,0.834045378829096
11.152,3.71164376863414,4,11,18.65,1.14,254,"N[31, 1]",PETH,0,0.834045378829096
13.3253333333333,4.25029389777563,6,13,23,1.12,261,"N[32, 1]",PETH,0,0.834045378829096
7.95733333333333,2.59334675956182,4,8,14,1.16,219,"N[33, 1]",PETH,0,0.834045378829096
16.4666666666667,3.17381218394632,11.35,16,23,1.18,172,"N[34, 1]",PETH,0,0.834045378829096
15.2773333333333,3.06225832106885,10,15,22,1.25,168,"N[35, 1]",PETH,0,0.834045378829096
15.9973333333333,2.87111622507634,12,16,22,1.18,91,"N[36, 1]",PETH,0,0.834045378829096
9.464,2.81860890329479,5.35,9,16,1.11,243,"N[37, 1]",PETH,0,0.834045378829096
8.39466666666667,2.32378387108201,5,8,13,1.19,121,"N[38, 1]",PETH,0,0.834045378829096
16.6213333333333,3.22350547111086,12,16,24.65,1.26,182,"N[39, 1]",PETH,0,0.834045378829096
11.792,3.02917012690836,6.35,12,18,1.13,328,"N[40, 1]",PETH,0,0.834045378829096
10.984,3.99327777391946,4.35,11,19,1.16,266,"N[41, 1]",PETH,0,0.834045378829096
8.90133333333334,2.52545825424603,5,9,15,1.14,127,"N[42, 1]",PETH,0,0.834045378829096
13.1146666666667,2.96145890722462,8.35,13,20,1.22,194,"N[43, 1]",PETH,0,0.834045378829096
12.472,2.64648692574295,8,12,18,1.23,67,"N[44, 1]",PETH,0,0.834045378829096
14.5946666666667,2.47251702996321,11,14,20,1.26,109,"N[45, 1]",PETH,0,0.834045378829096
15.992,3.54986480122158,10,16,24.65,1.21,124,"N[46, 1]",PETH,0,0.834045378829096
13.32,2.95220392611865,9,13,20,1.23,90,"N[47, 1]",PETH,0,0.834045378829096
12.0506666666667,2.65585687821761,8,12,17.65,1.13,78,"N[48, 1]",PETH,0,0.834045378829096
10.2666666666667,2.62104468157573,6,10,16,1.26,110,"N[49, 1]",PETH,0,0.834045378829096
11.5146666666667,3.30113792296729,6,11,18,1.07,204,"N[50, 1]",PETH,0,0.834045378829096
11.7946666666667,2.56424892493292,7,11,18,1.23,212,"N[51, 1]",PETH,0,0.834045378829096
20.8453333333333,2.67041091859536,17,21,27,1.25,66,"N[52, 1]",PETH,0,0.834045378829096
10.8426666666667,2.92404622839842,6,10,17,1.18,67,"N[53, 1]",PETH,0,0.834045378829096
13.656,2.853192226674,9,13,20,1.18,86,"N[54, 1]",PETH,0,0.834045378829096
11.5333333333333,2.51271277510902,8,11,17,1.15,131,"N[55, 1]",PETH,0,0.834045378829096
10.816,2.41779499137558,7,11,16,1.15,237,"N[56, 1]",PETH,0,0.834045378829096
11.5733333333333,2.49262727475204,8,11,16,1.28,128,"N[57, 1]",PETH,0,0.834045378829096
10.2693333333333,2.84905338127253,6,10,17,1.17,108,"N[58, 1]",PETH,0,0.834045378829096
10.9466666666667,3.20966677153778,5,11,18,1.17,194,"N[59, 1]",PETH,0,0.834045378829096
14.7306666666667,2.80173615642088,10,14,20.65,1.32,149,"N[60, 1]",PETH,0,0.834045378829096
15.1706666666667,2.81852036377214,11,15,21.65,1.29,153,"N[61, 1]",PETH,0,0.834045378829096
13.8746666666667,2.58601200896611,10,13,20,1.19,117,"N[62, 1]",PETH,0,0.834045378829096
12.5493333333333,3.26496445154847,7,12,20,1.17,228,"N[63, 1]",PETH,0,0.834045378829096
12.1786666666667,2.86180327827841,7,12,19,1.3,120,"N[64, 1]",PETH,0,0.834045378829096
14.7226666666667,2.69439770006803,10,14,21,1.22,142,"N[65, 1]",PETH,0,0.834045378829096
14.88,3.21743246358863,10,15,22.65,1.13,158,"N[66, 1]",PETH,0,0.834045378829096
14.624,3.2383002077161,10,14,21,1.24,136,"N[67, 1]",PETH,0,0.834045378829096
13.4266666666667,2.74287279301197,9,13,20,1.18,82,"N[68, 1]",PETH,0,0.834045378829096
13.2693333333333,2.80840856096051,9,13,19,1.19,158,"N[69, 1]",PETH,0,0.834045378829096
17.5466666666667,2.88131233716751,13,17,24,1.19,68,"N[70, 1]",PETH,0,0.834045378829096
12.6506666666667,2.42383294224401,9,12,18,1.14,154,"N[71, 1]",PETH,0,0.834045378829096
12.9866666666667,2.90257737824854,8,13,19,1.27,193,"N[72, 1]",PETH,0,0.834045378829096
10.6853333333333,2.49323648376821,7,10,17,1.15,188,"N[73, 1]",PETH,0,0.834045378829096
14.1653333333333,2.87146636286824,9,14,21,1.3,141,"N[74, 1]",PETH,0,0.834045378829096
15.4266666666667,2.9359168658423,10.35,15,22,1.16,196,"N[75, 1]",PETH,0,0.834045378829096
15.3973333333333,3.0634106561943,11,15,23,1.31,165,"N[76, 1]",PETH,0,0.834045378829096
25.12,2.94676474457888,20.35,25,31.65,1.29,107,"N[77, 1]",PETH,0,0.834045378829096
17.3653333333333,2.43906998435711,14,17,23,1.32,109,"N[78, 1]",PETH,0,0.834045378829096
16.4826666666667,3.28732671544012,11,16,23.65,1.14,94,"N[79, 1]",PETH,0,0.834045378829096
15.5626666666667,2.96606354902033,11,15,22.65,1.23,79,"N[80, 1]",PETH,0,0.834045378829096
20.2186666666667,2.84260431417873,16,20,27,1.24,62,"N[81, 1]",PETH,0,0.834045378829096
17.0186666666667,2.82978303307166,12.35,17,23,1.15,105,"N[82, 1]",PETH,0,0.834045378829096
14.2506666666667,4.4530940194219,6.35,14,22,1.11,300,"N[83, 1]",PETH,0,0.834045378829096
11.9386666666667,3.92496102822484,5,12,20,1.02,306,"N[84, 1]",PETH,0,0.834045378829096
13.928,4.41952885431441,6,14,22,1.14,317,"N[85, 1]",PETH,0,0.834045378829096
13.56,4.18438656305687,6,14,21,1.13,267,"N[86, 1]",PETH,0,0.834045378829096
13.304,3.9937598384303,6,13,21.65,1.06,167,"N[87, 1]",PETH,0,0.834045378829096
14.8426666666667,4.56554093102557,7,15,25,1.16,128,"N[88, 1]",PETH,0,0.834045378829096
9.85333333333333,1.45055155776928,8,10,13,1.21,236,"N[1, 2]",PETH,0,0.834045378829096
8.776,1.70653352867501,6,9,13,1.31,192,"N[2, 2]",PETH,0,0.834045378829096
7.13066666666667,1.77519851517258,4,7,11,1.22,161,"N[3, 2]",PETH,0,0.834045378829096
8.73333333333333,2.05234529553904,5,9,13.65,1.18,178,"N[4, 2]",PETH,0,0.834045378829096
6.928,1.34149728783253,5,7,10,1.21,177,"N[5, 2]",PETH,0,0.834045378829096
7.8,1.77775920964754,5,7,12,1.27,190,"N[6, 2]",PETH,0,0.834045378829096
9.46933333333333,2.19223065000387,6,9,14,1.17,167,"N[7, 2]",PETH,0,0.834045378829096
12.648,2.31683907846618,9,13,17.65,1.15,170,"N[8, 2]",PETH,0,0.834045378829096
10.5093333333333,1.99713520313669,7,10,14.65,1.11,216,"N[9, 2]",PETH,0,0.834045378829096
7.60533333333333,1.83663646691076,5,7,11,1.24,242,"N[10, 2]",PETH,0,0.834045378829096
9.67466666666667,2.23625291379893,6,10,14,1.2,193,"N[11, 2]",PETH,0,0.834045378829096
9.21066666666667,2.04648997361854,6,9,14,1.16,201,"N[12, 2]",PETH,0,0.834045378829096
13.704,2.35155199633005,10,13,19,1.35,180,"N[13, 2]",PETH,0,0.834045378829096
11.7226666666667,2.43699063419592,8,11,17,1.21,149,"N[14, 2]",PETH,0,0.834045378829096
9.99466666666667,2.09913996479519,6.35,10,14.65,1.27,167,"N[15, 2]",PETH,0,0.834045378829096
9.96,2.00160363516343,7,10,14,1.18,310,"N[16, 2]",PETH,0,0.834045378829096
9.13066666666667,1.96941679071335,6,9,13.65,1.13,139,"N[17, 2]",PETH,0,0.834045378829096
10.0106666666667,2.02389293256722,7,10,14.65,1.17,178,"N[18, 2]",PETH,0,0.834045378829096
15.0373333333333,2.19958511725667,11,15,20,1.26,155,"N[19, 2]",PETH,0,0.834045378829096
13.512,2.27265539993306,10,13,18.65,1.17,126,"N[20, 2]",PETH,0,0.834045378829096
6.90666666666667,1.56817729726285,5,7,10,1.29,219,"N[21, 2]",PETH,0,0.834045378829096
10.5386666666667,2.2042674540338,7,10,15,1.31,110,"N[22, 2]",PETH,0,0.834045378829096
14.3333333333333,1.83790549626218,11,14,18,1.32,265,"N[23, 2]",PETH,0,0.834045378829096
13.1253333333333,1.8333725486002,10,13,17,1.2,152,"N[24, 2]",PETH,0,0.834045378829096
6.41333333333333,2.01394425928348,3,6,11,1.17,268,"N[25, 2]",PETH,0,0.834045378829096
11.0613333333333,1.85690598085818,8,11,15,1.26,186,"N[26, 2]",PETH,0,0.834045378829096
13.1173333333333,2.37569991563046,9,13,18,1.23,148,"N[27, 2]",PETH,0,0.834045378829096
14.7466666666667,2.38361908213094,11,15,20,1.28,209,"N[28, 2]",PETH,0,0.834045378829096
11.5226666666667,2.26904143188436,7.35,11,16,1.09,160,"N[29, 2]",PETH,0,0.834045378829096
13.5573333333333,2.07771298922569,10,13,18,1.24,138,"N[30, 2]",PETH,0,0.834045378829096
11.3253333333333,2.40226571602935,7,11,17,1.14,214,"N[31, 2]",PETH,0,0.834045378829096
11.2986666666667,2.16841037745681,8,11,16,1.11,217,"N[32, 2]",PETH,0,0.834045378829096
7.272,2.2314331981144,4,7,12,1.35,245,"N[33, 2]",PETH,0,0.834045378829096
14.0453333333333,2.37423183937342,10,14,19,1.2,176,"N[34, 2]",PETH,0,0.834045378829096
10.664,2.37165976764711,7,10,16,1.15,112,"N[35, 2]",PETH,0,0.834045378829096
12.9653333333333,2.09567247852686,10,13,18,1.33,162,"N[36, 2]",PETH,0,0.834045378829096
8.37066666666667,1.08892987420896,7,8,11,1.21,226,"N[37, 2]",PETH,0,0.834045378829096
8.65866666666667,1.3447355596883,7,8,12,1.34,173,"N[38, 2]",PETH,0,0.834045378829096
12.7893333333333,2.24105908245447,9,13,18,1.28,214,"N[39, 2]",PETH,0,0.834045378829096
10.592,2.39349385506305,6,10,16,1.31,101,"N[40, 2]",PETH,0,0.834045378829096
6.09866666666667,1.73000365779136,3,6,10,1.24,290,"N[41, 2]",PETH,0,0.834045378829096
8.87466666666666,1.97518653646496,6,9,14,1.33,117,"N[42, 2]",PETH,0,0.834045378829096
11.4213333333333,2.11654378073254,8,11,16,1.21,281,"N[43, 2]",PETH,0,0.834045378829096
9.968,1.47855978486944,8,10,13,1.25,248,"N[44, 2]",PETH,0,0.834045378829096
12.712,2.19679883778416,9,13,18,1.27,164,"N[45, 2]",PETH,0,0.834045378829096
11.8586666666667,2.35005366495406,8,12,17,1.17,171,"N[46, 2]",PETH,0,0.834045378829096
11.0026666666667,2.26517304254134,7,11,15.65,1.19,172,"N[47, 2]",PETH,0,0.834045378829096
10.9386666666667,2.19356700043177,7,11,15.65,1.18,74,"N[48, 2]",PETH,0,0.834045378829096
8.70666666666667,2.09004089547107,5,8,13,1.27,227,"N[49, 2]",PETH,0,0.834045378829096
9.472,1.98352573251541,6,9,14,1.27,219,"N[50, 2]",PETH,0,0.834045378829096
9.296,1.42377069595227,7,9,12,1.38,220,"N[51, 2]",PETH,0,0.834045378829096
9.98933333333333,1.80607807238919,7,10,14,1.18,86,"N[52, 2]",PETH,0,0.834045378829096
14.968,2.45364293171676,11,15,21,1.29,132,"N[53, 2]",PETH,0,0.834045378829096
13.184,2.20008750433658,10,13,18,1.28,79,"N[54, 2]",PETH,0,0.834045378829096
9,1.59041245112891,6,9,12,1.16,197,"N[55, 2]",PETH,0,0.834045378829096
6.73333333333333,1.73616250666646,4,7,11,1.18,108,"N[56, 2]",PETH,0,0.834045378829096
6.68266666666667,1.86813794831629,4,7,11,1.31,255,"N[57, 2]",PETH,0,0.834045378829096
9.23733333333333,2.44176961631929,5,9,15,1.29,264,"N[58, 2]",PETH,0,0.834045378829096
10.1253333333333,2.50939908722509,6,10,15,1.13,207,"N[59, 2]",PETH,0,0.834045378829096
11.0773333333333,1.66656113747904,8,11,14.65,1.19,149,"N[60, 2]",PETH,0,0.834045378829096
10.1973333333333,2.09493745094004,7,10,15,1.15,229,"N[61, 2]",PETH,0,0.834045378829096
8.73866666666667,1.64689736921932,6,9,12,1.16,206,"N[62, 2]",PETH,0,0.834045378829096
10.96,2.46710985082602,7,11,16.65,1.15,157,"N[63, 2]",PETH,0,0.834045378829096
8.07733333333333,1.97088251720218,5,8,12,1.24,166,"N[64, 2]",PETH,0,0.834045378829096
10.8186666666667,2.54986071410167,6,11,16,1.26,177,"N[65, 2]",PETH,0,0.834045378829096
