mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.289897401741949,0.156359667912693,0.0640617436929131,0.307265914246574,0.558722467094026,4.45,13,trend,SNPI,0.2,0.97262100798748
0.858632536856884,0.125399928787273,0.693546379319873,0.828862518747888,1.06901688729215,8.23,17,trend2,SNPI,0.2,0.97262100798748
1364.624,506.598354720332,680.1,1286,2504.15,6.79,14,totalN[1],SNPI,0.2,0.97262100798748
498.68,77.7997498037026,368.35,489,681.3,1.2,17,totalN[2],SNPI,0.2,0.97262100798748
770.288,217.346595332602,469.35,745,1177.25,4.68,18,totalN[3],SNPI,0.2,0.97262100798748
784.330666666667,248.618627455795,365,809,1271.55,1.61,21,totalN[4],SNPI,0.2,0.97262100798748
590.394666666667,60.7939359251915,494.7,582,739.25,1.25,27,totalN[5],SNPI,0.2,0.97262100798748
639.517333333333,23.499097566774,594.35,638,687.65,1.02,101,totalN[6],SNPI,0.2,0.97262100798748
812.317333333333,60.4812526160261,696.05,810,937.3,1.2,66,totalN[7],SNPI,0.2,0.97262100798748
681.181333333333,135.578140830094,504.35,654,1008.95,3.58,23,totalN[8],SNPI,0.2,0.97262100798748
1061.25333333333,227.328715171518,709.35,1043,1568.45,1.19,8,totalN[9],SNPI,0.2,0.97262100798748
396.757333333333,545.070860617658,12.35,218,2071.25,1.04,346,totalN[10],SNPI,0.2,0.97262100798748
976.570666666667,85.3189341683852,830.75,974,1154.3,2.03,23,totalN[11],SNPI,0.2,0.97262100798748
1203.592,147.18027593964,922.05,1207,1515.5,2.27,27,totalN[12],SNPI,0.2,0.97262100798748
745.989333333333,50.5438327622968,665.1,744,875.65,1.15,37,totalN[13],SNPI,0.2,0.97262100798748
696.288,49.4231130843847,623.7,687,815.3,1.12,35,totalN[14],SNPI,0.2,0.97262100798748
659.186666666667,108.082867462236,520,639,1003.65,1.19,30,totalN[15],SNPI,0.2,0.97262100798748
0.102789941582241,0.0355586960211704,0.0485414302251514,0.0969942780936445,0.178886786264955,4.05,20,anndet[1],SNPI,0.2,0.97262100798748
0.34717831143832,0.0522456215236691,0.250353654940454,0.345166916378533,0.465502214116309,1.19,17,anndet[2],SNPI,0.2,0.97262100798748
0.202573243967897,0.0557677189584802,0.123903561206334,0.194088986795181,0.304865386860772,5.57,23,anndet[3],SNPI,0.2,0.97262100798748
0.109375572887421,0.0397030683491027,0.0590619949947101,0.0962771809339308,0.206759941490878,1.46,20,anndet[4],SNPI,0.2,0.97262100798748
0.31524686278651,0.0311197737166336,0.249394426007117,0.317168998769171,0.373413910621015,1.23,31,anndet[5],SNPI,0.2,0.97262100798748
0.516937951766924,0.019761505234543,0.478628588124339,0.515215534041191,0.557921328857313,1.01,88,anndet[6],SNPI,0.2,0.97262100798748
0.314792457262487,0.0227900737982709,0.272317976921926,0.314233132456648,0.362365032170898,1.19,53,anndet[7],SNPI,0.2,0.97262100798748
0.15277479040357,0.0283771885903401,0.0985947069790575,0.153434839458834,0.201574451267702,3.39,29,anndet[8],SNPI,0.2,0.97262100798748
0.113761951088171,0.0241794567181729,0.0717811623707215,0.110425011183052,0.164043993657607,1.2,7,anndet[9],SNPI,0.2,0.97262100798748
0.336971646725113,0.186591682501967,0.0595717781343984,0.313465882590179,0.780037084658356,1.14,338,anndet[10],SNPI,0.2,0.97262100798748
0.36978660103617,0.0320033056802039,0.309792701249616,0.367675420240187,0.430662002458284,2.08,25,anndet[11],SNPI,0.2,0.97262100798748
0.177396323547841,0.0217960508009907,0.140208781555471,0.175991803312433,0.224460484467644,2.13,22,anndet[12],SNPI,0.2,0.97262100798748
0.453275580359624,0.0299593130493252,0.388207435439838,0.453421083601314,0.505880958188508,1.16,31,anndet[13],SNPI,0.2,0.97262100798748
0.480974691441353,0.0325006738210186,0.40753030584218,0.483736184843972,0.534640048705154,1.08,33,anndet[14],SNPI,0.2,0.97262100798748
0.304991841917213,0.0419662813055928,0.203114633281211,0.306296226180849,0.377919520550043,1.16,33,anndet[15],SNPI,0.2,0.97262100798748
