mean,sd,lcl,median,ucl,Rhat,n.eff,parameter,species,BayesP,GoFSlope
0.157737851322819,0.174287705679069,-0.202352992446014,0.214188116549325,0.368099882134187,2.48,11,trend,TREM,0.666666666666667,1.0170237137665
0.633147469526343,0.184119710758087,0.375565628573075,0.581123695842089,0.897141675937574,11.74,10,trend2,TREM,0.666666666666667,1.0170237137665
792.194666666666,362.868616893993,438.7,679,1787.65,2.43,18,totalN[1],TREM,0.666666666666667,1.0170237137665
595.453333333333,195.890295428684,348,537,991.65,2.93,27,totalN[2],TREM,0.666666666666667,1.0170237137665
469.813333333333,128.064644994951,286.05,448,835.95,2.76,23,totalN[3],TREM,0.666666666666667,1.0170237137665
365.725333333333,125.985237117209,220.35,328,768.95,1.62,18,totalN[4],TREM,0.666666666666667,1.0170237137665
265.197333333333,63.4225157250268,183.7,249,427.6,1.8,39,totalN[5],TREM,0.666666666666667,1.0170237137665
283.490666666667,47.3866708095218,208,279,385.65,1.7,36,totalN[6],TREM,0.666666666666667,1.0170237137665
277.397333333333,48.0804194120412,203.35,269,394.65,1.66,44,totalN[7],TREM,0.666666666666667,1.0170237137665
443.152,73.2640878387558,329.05,432,611.6,1.63,35,totalN[8],TREM,0.666666666666667,1.0170237137665
445.712,103.432905944315,268.7,448,634,2.23,20,totalN[9],TREM,0.666666666666667,1.0170237137665
306.778666666667,231.223464321342,44.05,273,772.8,1.07,375,totalN[10],TREM,0.666666666666667,1.0170237137665
609.28,111.86612988766,452,580,870.95,1.98,41,totalN[11],TREM,0.666666666666667,1.0170237137665
526.997333333333,127.156993761211,375.35,483,838.9,1.26,21,totalN[12],TREM,0.666666666666667,1.0170237137665
728.026666666667,159.470763529486,490.1,689,1093,3.02,22,totalN[13],TREM,0.666666666666667,1.0170237137665
490.410666666667,94.068452111797,314.35,501,659.3,2.84,27,totalN[14],TREM,0.666666666666667,1.0170237137665
1143.4,455.921708496179,643,1010,2242.25,1.94,17,totalN[15],TREM,0.666666666666667,1.0170237137665
0.0658493971864516,0.0215676211311445,0.0242203503413431,0.0683985329448259,0.10139893395538,2.92,22,anndet[1],TREM,0.666666666666667,1.0170237137665
0.0690339453254791,0.0204066242903629,0.0376052802793613,0.0710808631764042,0.10678303870405,3.04,37,anndet[2],TREM,0.666666666666667,1.0170237137665
0.0870270375378426,0.0202724371869839,0.0453264206674675,0.0873706792902733,0.128519801209252,2.45,37,anndet[3],TREM,0.666666666666667,1.0170237137665
0.0799915828967609,0.0195846390067506,0.0377048701286682,0.0814180318699672,0.117640038498063,1.53,24,anndet[4],TREM,0.666666666666667,1.0170237137665
0.146975317257973,0.029781097062641,0.0900545750216558,0.150418178192096,0.201248030201697,1.64,58,anndet[5],TREM,0.666666666666667,1.0170237137665
0.185468051243889,0.0286844508478235,0.132413762632164,0.186039186628287,0.234790041026125,1.94,39,anndet[6],TREM,0.666666666666667,1.0170237137665
0.209263549835892,0.031658855244941,0.143039674883038,0.208039414338283,0.268448612311711,1.54,46,anndet[7],TREM,0.666666666666667,1.0170237137665
0.16464258130585,0.0242187932369982,0.119466637535963,0.164833822832295,0.209915666333391,1.67,46,anndet[8],TREM,0.666666666666667,1.0170237137665
0.0822229414185532,0.0212890308467472,0.0543274543146727,0.0774283728779215,0.128871027967774,2.11,32,anndet[9],TREM,0.666666666666667,1.0170237137665
0.105344622711612,0.0387586993357191,0.0435689613958506,0.104210769062932,0.184637435192696,1.09,261,anndet[10],TREM,0.666666666666667,1.0170237137665
0.150592104989751,0.0253537680839181,0.106178924725994,0.152265801499689,0.194314820568122,2.07,41,anndet[11],TREM,0.666666666666667,1.0170237137665
0.116582916726707,0.0213873891666709,0.074063263573098,0.120523239167641,0.149473657511056,1.25,38,anndet[12],TREM,0.666666666666667,1.0170237137665
0.147059395940046,0.0286721847573383,0.0929926424697529,0.146644876693762,0.200640012191852,2.84,28,anndet[13],TREM,0.666666666666667,1.0170237137665
0.134932170967132,0.0247458141495194,0.101842578587686,0.128733767782133,0.195859823116783,3.26,33,anndet[14],TREM,0.666666666666667,1.0170237137665
0.0408865197488618,0.013570784091125,0.0187074234515687,0.0406063631479721,0.0654062374753391,1.95,21,anndet[15],TREM,0.666666666666667,1.0170237137665
